,date,country_1,country_2,country_3,country_4,countries,organization,claim,source,source_url,fact_check_url,fact_check_lang,final_rating,explanation,category,countries_list,source_domain,resolved_url,resolved_domain,datetime,claim_p
1838,3/19/20,India,,,,India,India Today,Drinking bitter gourd juice cures the coronavirus.,Facebook,https://www.facebook.com/groups/464180163605274/permalink/3073881339301797/,https://aajtak.intoday.in/story/fact-check-rumored-corona-virus-destroyed-drinking-bitter-gourd-juice-1-1172858.html,Hindi,mostly false,There is no proven evidence from any research so far which establishes that bitter gourd juice cures coronavirus.,cures,['India'],facebook.com,https://www.facebook.com/groups/464180163605274/permalink/3073881339301797/,facebook.com,3/19/20,"['drinking', 'bitter', 'gourd', 'juice', 'cures', 'coronavirus']"
1861,3/19/20,India,,,,India,Factly,Scientists have found that drinking bitter gourd juice can cure coronavirus.,Many social media platforms,https://www.facebook.com/photo.php?fbid=2642655632629696&set=a.1450302085198396&type=3&theater,https://factly.in/bitter-gourd-juice-is-good-for-health-but-not-a-cure-for-coronavirus/,English,FALSE,The World Health Organization (WHO) or the Ministry for Health & Family Welfare (India) hasn't announced that drinking bitter gourd juice will cure coronavirus. The Press Information Bureau (PIB) has clarified that the message is ‘fake’.,cures,['India'],facebook.com,https://www.facebook.com/photo.php?fbid=2642655632629696&set=a.1450302085198396&type=3&theater,facebook.com,3/19/20,"['scientists', 'drinking', 'bitter', 'gourd', 'juice', 'cure', 'coronavirus']"
2037,3/20/20,India,,,,India,FactCrescendo,Bitter gourd juice can cure coronavirus in just two hours.,"Facebook, Whatsapp",https://www.facebook.com/103230381260561/photos/a.122067602710172/127822842134648/?type=3&__xts__%5B0%5D=68.ARDjgrIzo2XhSVpKWm5vJ9G3y7oJ-VwpSwFTIAWmXJL4zsCkf-oWNaf5udv31Wcaffi2BL6jA0qRxzfWEH_pEXopI974fIVMJd7ipaFO77LL3ohpkHXcVCoxHTDH8K2EKDvyIVfwSd5mjwLgoxE2UPST25SwFa3mR7FTl35mhbqxPcXwzaFcjuLb_Kdym7NlJx8K9RntMKUMD57DdC70HpMoetcmLyGashjoqysZ5KLHmFfmGs3NTmqe4vGck_8e-eUiQrD_oNQ6ybL240le6AgQqHl-Agkq4AEQZ4igcEcvLubndawkwdhO96FQKqbcEXyT27kjusMB8nYF0tWrrFo&__tn__=-R,https://www.factcrescendo.com/fact-check-bitter-gourd-juice-helps-to-cure-coronavirus/?check=1,Hindi,FALSE,"PIB India clarified that this viral message is fake. According to the WHO, there is no cure for coronavirus.",cures,['India'],facebook.com,https://www.facebook.com/103230381260561/photos/a.122067602710172/127822842134648/?type=3&__xts__%5B0%5D=68.ARDjgrIzo2XhSVpKWm5vJ9G3y7oJ-VwpSwFTIAWmXJL4zsCkf-oWNaf5udv31Wcaffi2BL6jA0qRxzfWEH_pEXopI974fIVMJd7ipaFO77LL3ohpkHXcVCoxHTDH8K2EKDvyIVfwSd5mjwLgoxE2UPST25SwFa3mR7FTl35mhbqxPcXwzaFcjuLb_Kdym7NlJx8K9RntMKUMD57DdC70HpMoetcmLyGashjoqysZ5KLHmFfmGs3NTmqe4vGck_8e-eUiQrD_oNQ6ybL240le6AgQqHl-Agkq4AEQZ4igcEcvLubndawkwdhO96FQKqbcEXyT27kjusMB8nYF0tWrrFo&__tn__=-R,facebook.com,3/20/20,"['bitter', 'gourd', 'juice', 'cure', 'coronavirus', 'hours']"
2118,3/21/20,India,,,,India,FactCrescendo,Bitter gourd juice can cure coronavirus.,"Facebook, Twitter",https://archive.org/details/20200321_20200321_0608,https://www.factcrescendo.com/fact-check-bitter-gourd-juice-helps-to-cure-coronavirus/,Hindi,FALSE,Bitter gourd juice cannot cure coronavirus. There is no cure for coronavirus as of this date.,cures,['India'],archive.org,https://archive.org/details/20200321_20200321_0608,archive.org,3/21/20,"['bitter', 'gourd', 'juice', 'cure', 'coronavirus']"
2569,3/25/20,India,,,,India,Vishvas News,"Bitter gourd juice can cure novel coronavirus, as per Bihar Health Department in India.",Facebook,https://archive.md/wip/1QnpZ,https://www.vishvasnews.com/english/health/fact-check-no-bitter-guard-juice-cannot-cure-novel-coronavirus-health-experts-refute-the-viral-claim/,English,FALSE,The post claiming bitter gourd can cure novel coronavirus in 2 hours is fake. Bihar Health Department has not issued any such statement.,cures,['India'],archive.md,https://www.facebook.com/photo.php?fbid=103938494583189&set=basw.AboMRUW7yZv8A-eANrjPTbWvbrKtDpzwz8NLNAd5mYqUC-jiGuoHJMEFiy0-xHM73CBbBLARAMCbX_VPdsJeKmMGgyODlZGcS0uQJSSybm_TD2spDJriwo_TmsivxUefHkd0e4yjMby01LqavlrGzwqzK_xcLCFnrQuCggCIYHZ5UKfqyUHnCjUFP_IFcSOXpA10ckCgq8ar3pSAPAP7lar5F7_qQEm3T5Lp2pMAkpR5dGRBOiNF1Y8i-kmWj6ljUYBCf-0Sm7BHXuopjgLZdSh0o-og7PK0fAqr-OSi06nbFMtvNpGKYHXCNeU4J30hKip-6J5SHYs1CpKJSQeXqPZ73GOqZdqQqiFh5_jT1jLs0f9X14PJXH2CcDyNIcbOEcBc3xAh-rJsBem0Qidm7UXozlbRkw8NCrp9e-DoWd0K5g--XcGLUIgmywk23kblnV331LlSjL-wCuLraLBxudsKyOBkcgeqNL6iQcUrUxfTM8U-9LjNEO1vdeTQyL0J9iSqR8VHSStC4OP1DL7rxfV91YiRawMRkyIlyHsC_iuTr_XOMUM2u5PDJx0RcAHECiCVHQGLbQEBllXohwni3bWEf40hikix1MJc_4lwYvXe6U7B-WbW2jRj3vypyANuHhmOW2a4ZqJPhe1V6U0R3erHxumgz2TMiZjGC1jxNDmhplQK0F3XzgpNAE0E5iExMPSo-uBaU0duTSxkU42fMSWcQIbp_SHJfGN3sVw-CU6XDbUCZ2d1G07x2_hKHcsE2pDb8tOkzwJ6G3qU9cR6MCqNB6zL43xXN7rGZhsikeEfOvY3-R2OCeVuXDdRClFTlWDPVBa1MEKqMs7ka0IGXEvn-EIw0PNmAOVFOcAy7bXlR_x4QKw0JjlkwuqMTa9Nz0yUh4hT_5z7CMzEsG3j9QSk--WXeMBikUxhjpzfJEO_92vUf3fgSsSMJ8sFLJQTsHHT3e6ZKOW3L_WXbw-1VRegp_p1q-fiIp9nEQQ_dwsWlkdQJ3KaOWkyaUBDgf1X_mSRsmAR6Kpzeg6GQkdIhX5RlWXtiGb3BKspCPwjQ1cQHEgKucjuvmu6Nj7dbQ8ixdARaUNOwJmXgjtYOyABIdTh0gX4JRtRsZ5Fm5tJopVxJ96VToi7R7ia_KInzat4Hnv8YM-VZB0JXdVdZug40c_Nrzrm592HB5Dvz1AYzBed7bl9mPfuURRU1KlkTg0qaM8NIGxmtQoW4Nn_mdQlS1zvyt17ajBPx36D5zv3GIcEWdruTWYjgBmx3_YKBqw4u7MOUx6P43-8WosSqWit6kAvlEXaPl-kTAzO43GdPNio4G7IWsLggl7OJJ2_6KuIi7CqtTU7vY3mG_rCtmocah57HMGEwysn0SY_ABGJjD8FqkKZdm5qQZC03bNzPJhLH9qv2w_DAqXbDrQuNKOlvEGRtzIs_XG2NxvjAUMUiPEXhhvK_9jo84RgyU8vcUWufVFxM29Swo1S_gxieralyuHPqpxvC8y3X7rbQZn6eYSiU3IeauZ_0g3uVF1UlPRZ0cjUuiP00YazhJW_5U-cVa3sCR-Fp-heA7J8ge88bVFG9SwbAlz1cdeGVWvYwkm5toIFcUrY-5PjwTRLkBOj6op09613bPJ2qvFou9md1P2s_klyEv40b5FfpLlVpzRDFJK8ccMFWPnvlGBKjbDz0vZn3UgVciMOsrcsixfZe62NH1ZvIbw5PgyuCn2lsjRX1rwAPjlBYhTtm6n_dDee1XcUkNfYpnesBVFZAqnQNVvp-t9VLhq7AjXc72wfDK-GAch18b8vat3OE-2yrJKj0JvB.629690377811963.1970941883041876.197463448362413.103938494583189.1359420374243444.2595819540546677.115527536742243.527929044542960.111966480440902&type=1&opaqueCursor=Abpm6Q_7g788_Y96KR5cAUzbZcfsHnoUfKYXmobtj6C41DVG1VAGJptV_5DY5ZwSSOZirhJYzbQ1dMVw85C6Q27IdqAHUjKQ5yYBCCC2JYPQAAtt-SVvSTR8AgUdRaY7zOoU_Y5cbcdJ8e-YlWbztasOXuGOc6T0ceWOXNwDU1SEp6S7NNR-7pSr-18YlfFC17N-mvf4VtfvBe2eiLuh4vWxfMMPAy4VIxp9kSCm2ODZ8Q3v6hjFva9wkozojCL-Ch6M_J0PxvLdXZcaYYQQ5sfhydkkMgzrb4b1u97_ztyx0dGN8HsNW7LNCr4n7qD7BNR8NfgI9KyLN9XbSjOsoN5pUFpf-wXK1SgGJChEI8SFQWcZ_X7JOIUcDQiIHHHoA-gRI4C1q7J7o29b5jnApfEIXcrb_4zmeb84aQqbAue9Pcc--GzWs0LDraIVFckbeUEO4hp9B5pWDRhggjvl6KE3s_aVVyat45eExcr6DiXkRHTGb0oJ7HQKEGXXctWK4OKt3YBqCNksCNOW5u1JYxZxitx-ZsjK_oX1EUxK5C_nb2KrnT6dMn9blLZZ_yJxUexsXiE6iQIVjtGPfwdTzeEmjOVcf1dtZN5OcXGIw7II4wyTVA46Gjj9DD_qsgvHK-IfdkgBbj2guObmAu0zXNKy8XhyaEKFUp8jIE8wm52IZc0e_sC6GeehYL0UCw4bQwdyUoOwaGNkTUoPsIibfnJK&theater,facebook.com,3/25/20,"['bitter', 'gourd', 'juice', 'cure', 'novel', 'coronavirus', 'bihar', 'health', 'department', 'india']"
