,date,country_1,country_2,country_3,country_4,countries,organization,claim,source,source_url,fact_check_url,fact_check_lang,final_rating,explanation,category,countries_list,source_domain,resolved_url,resolved_domain,datetime,claim_p
700,2/24/2020,Spain,,,,Spain,Maldita.es,A 1981 book predicted the coronavirus outbreak.,Twitter,https://twitter.com/eldiariodedross/status/1231936799406206977?s=08,https://maldita.es/malditobulo/libro-1981-predijo-coronavirus/,Spanish,misleading,"The book does talk about a virus called Wuhan-400, but it's not the same as COVID-19.",conspiracy theory,['Spain'],twitter.com,https://twitter.com/eldiariodedross/status/1231936799406206977?s=08,twitter.com,2020-02-24,"['1981', 'book', 'predicted', 'coronavirus', 'outbreak']"
710,2/24/2020,Lithuania,,,,Lithuania,15min.lt,"A book by D.Koontz, ""The Eyes of Darkness,"" predicted COVID-19 in 1981.",Facebook,https://www.zinoti.lt/idomybes/busite-sokiruoti-knyga-isleista-1981-metais-numate-koronaviruso-protruki/,https://www.15min.lt/kultura/naujiena/literatura/knygu-galia-apie-koronaviruso-protruki-perspejo-dar-1981-m-286-1281162,Lithuanian,false,"The first edition of the book mentioned the (imaginary) virus was invented by the Russians, not the Chinese.",conspiracy theory,['Lithuania'],zinoti.lt,https://www.zinoti.lt/idomybes/busite-sokiruoti-knyga-isleista-1981-metais-numate-koronaviruso-protruki/,zinoti.lt,2020-02-24,"['book', 'koontz', 'eyes', 'darkness', 'predicted', 'covid', '1981']"
722,2/25/2020,Iran,,,,Iran,Factnameh,"In 1981, the book ""The Eyes of Darkness"" predicted the spread of the coronavirus.",Many social media platforms,Unavaliable,https://factnameh.com/fact-checks/2020-02-26-coronavirus-predicted-1981-novel.html,Farsi,false,"A work of fiction, the book mentions a biological weapon called Wuhan-400 (Originally Gorki-400) that has no similarities to COVID-19. ",conspiracy theory,['Iran'],N/A,Unavaliable,N/A,2020-02-25,"['1981', 'book', 'eyes', 'darkness', 'predicted', 'spread', 'coronavirus']"
5024,2/27/2020,United Kingdom,,,,United Kingdom,Full Fact,"A book published in 1981 said that in 2020 a severe pneumonia-like illness would spread across the world, and calling it “Wuhan-400”.",Facebook,https://www.facebook.com/judith.brelsford1/posts/2579920822134758,https://fullfact.org/online/book-didnt-predict-coronavirus/,English,partly false,"These lines are from two different books: one is from a book of predictions by a psychic published in 2008 that predicted a pneumonia-like illness, and “Wuhan-400” is a fictional disease from a sci-fi book published in 1981 that bears little similarity to the new Wuhan coronavirus.",causes,['United Kingdom'],facebook.com,https://www.facebook.com/judith.brelsford1/posts/2579920822134758,facebook.com,2020-02-27,"['book', 'published', '1981', 'said', '2020', 'severe', 'pneumonia', 'like', 'illness', 'spread', 'world', 'calling', 'wuhan', '400']"
1372,3/13/2020,Turkey,,,,Turkey,Teyit,Asterix comics in 1981 mentioned coronavirus; French people knew the outbreak in advance.,Twitter,https://twitter.com/alphanmanas/status/1237604734011244544,https://teyit.org/1981-tarihli-asterix-cizgi-romaninda-koronavirusten-bahsedildigi-iddiasi/,Turkish,false,"Coronaviruses had been known for awhile and the term no only refers to COVID-19. Asterix comic books in 1981 did not mention coronavirus. The issue from 2017 did refer to coronavirus, but it is not related to the current outbreak.",conspiracy theory,['Turkey'],twitter.com,https://twitter.com/alphanmanas/status/1237604734011244544,twitter.com,2020-03-13,"['asterix', 'comics', '1981', 'mentioned', 'coronavirus', 'french', 'people', 'knew', 'outbreak', 'advance']"
4129,4/13/2020,Philippines,,,,Philippines,VERA Files,An old news article says the COVID-19 pandemic was predicted in 1981.,FB users,https://www.facebook.com/permalink.php?story_fbid=2380796702211224&id=100008427521527,https://verafiles.org/articles/vera-files-fact-check-old-news-report-claiming-2-novels-pred,English,misleading,The circulating news clipping came from a 2/20/2020 issue of British tabloid The Daily Star. The story dubiously points out alleged similarities between COVID-19 and the viruses described in the fictional books named.,other,['Philippines'],facebook.com,https://www.facebook.com/permalink.php?story_fbid=2380796702211224&id=100008427521527,facebook.com,2020-04-13,"['old', 'news', 'article', 'says', 'covid', 'pandemic', 'predicted', '1981']"
1229,3/11/2020,Middle East,North Africa,,,"Middle East, North Africa",Misbar,"""The Eyes of Darkness"" predicted the coronavirus outbreak.","Facebook, Twitter",https://www.facebook.com/watch/?v=1749091948559826&external_log_id=beb3526da9938c1fc476792e0286804b&q=%D9%83%D8%AA%D8%A7%D8%A8%20%22%D8%B9%D9%8A%D9%88%D9%86%20%D8%A7%D9%84%D8%B8%D9%84%D8%A7%D9%85%22,https://misbar.com/factcheck/5e6933b3d4a229450a7872f3,Arabic,misleading,"""The Eyes of Darkness,"" published in 1981, predicts the emergence of COVID-19. In the book's new edition, the author talks about a biological weapon, a virus called ""Wuhan 400"", originating from the same city in China. He did not mention COVID-19 or its main symptoms such as shortness of breath and high temperature.",conspiracy theory,"['Middle East', 'North Africa']",facebook.com,https://www.facebook.com/watch/?v=1749091948559826&external_log_id=beb3526da9938c1fc476792e0286804b&q=%D9%83%D8%AA%D8%A7%D8%A8%20%22%D8%B9%D9%8A%D9%88%D9%86%20%D8%A7%D9%84%D8%B8%D9%84%D8%A7%D9%85%22,facebook.com,2020-03-11,"['eyes', 'darkness', 'predicted', 'coronavirus', 'outbreak']"
