,date,country_1,country_2,country_3,country_4,countries,organization,claim,source,source_url,fact_check_url,fact_check_lang,final_rating,explanation,category,countries_list,source_domain,resolved_url,resolved_domain,datetime,claim_p
386,2/5/2020,India,,,,India,FactCrescendo,Coronavirus has infected broiler chicken.,"Facebook, Twitter, WhatsApp",Unavaliable,https://english.factcrescendo.com/2020/02/05/coronavirus-infecting-boiler-chicken/,English,false,There is no evidence that broiler chicken has been infected with coronavirus.,causes,['India'],N/A,Unavaliable,N/A,2020-02-05,"['coronavirus', 'infected', 'broiler', 'chicken']"
422,2/6/2020,India,,,,India,Factly,Coronavirus found in broiler chicken,Facebook,https://www.facebook.com/permalink.php?story_fbid=502013910751659&id=100028291630620,https://factly.in/telugu-no-evidence-to-prove-that-coronavorus-was-found-in-the-broiler-chickens/,Telugu,false,No evidence proves this claim. The WHO has clarified that meat cooked properly can be consumed.,causes,['India'],facebook.com,https://www.facebook.com/permalink.php?story_fbid=502013910751659&id=100028291630620,facebook.com,2020-02-06,"['coronavirus', 'broiler', 'chicken']"
437,2/6/2020,India,,,,India,Vishvas News,Coronavirus discovered In broiler chicken.,Facebook,https://archive.md/QPbnV,https://www.vishvasnews.com/english/health/fact-check-post-claiming-coronavirus-discovered-in-broilers-chicken-in-recent-outbreak-is-fake/,English,false,Unrelated images of ailing chickens claim coronavirus has been discovered in broiler chicken.,causes,['India'],archive.md,https://www.facebook.com/mohammad.shahabuddin.5264/posts/2765732110141877,facebook.com,2020-02-06,"['coronavirus', 'discovered', 'broiler', 'chicken']"
472,2/8/2020,India,,,,India,Vishvas News,Coronavirus has been found in broiler chicken.,Facebook,https://archive.md/QPbnV,https://www.vishvasnews.com/health/post-claiming-coronavirus-in-broiler-chicken-is-fake/,English,false,The claim is fake.,causes,['India'],archive.md,https://www.facebook.com/mohammad.shahabuddin.5264/posts/2765732110141877,facebook.com,2020-02-08,"['coronavirus', 'broiler', 'chicken']"
484,2/10/2020,India,,,,India,Factly,Coronavirus is found in broiler chicken.,Facebook,https://archive.fo/KK5Kk,https://factly.in/no-evidence-of-coronavirus-in-chicken-is-found-its-a-fake-message/,English,false,There is no evidence to prove that coronavirus is found in the broiler chickens. The WHO has clarified that meat cooked properly can be consumed.,causes,['India'],archive.fo,https://www.facebook.com/bem.kunnu/posts/1943787472431879,facebook.com,2020-02-10,"['coronavirus', 'broiler', 'chicken']"
521,2/11/2020,India,,,,India,India Today,"Coronavirus-infected chicken has been found in Bengaluru, India. ",Facebook,http://archive.today/J9KyU,https://www.indiatoday.in/fact-check/story/fact-check-old-pic-of-sick-chicken-passed-off-as-coronavirus-infected-in-bengaluru-1645416-2020-02-11,English,mostly false,The image is outdated and not related to coronavirus.,causes,['India'],archive.today,https://www.facebook.com/souravvs.rocky/posts/2582662928648585,facebook.com,2020-02-11,"['coronavirus', 'infected', 'chicken', 'bengaluru', 'india']"
582,2/14/2020,India,,,,India,Vishvas News,Chicken infected from coronavirus found In Bangalore.,Facebook,https://archive.md/wip/vSbXu,https://www.vishvasnews.com/english/health/fact-check-post-claiming-chicken-infected-from-coronavirus-found-in-bangalore-is-fake/,English,false,The image is old and not related to the 2019 novel coronavirus.,causes,['India'],archive.md,https://www.facebook.com/BangROdia/posts/1516468725143401,facebook.com,2020-02-14,"['chicken', 'infected', 'coronavirus', 'bangalore']"
678,2/21/2020,Tanzania,,,,Tanzania,PesaCheck,Four people have died in Zanzibar after handling a chicken infected with COVID-19.,"Website, Media",https://archive.fo/CcHzs,https://pesacheck.org/false-there-are-no-confirmed-cases-of-novel-coronavirus-in-zanzibar-2c8e23a6a02e,English,false,A post claiming that four individuals in Zanzibar died from COVID-19 after handling a diseased chicken is false. It contains images of a diseased chicken that circulated in other countries claiming to show symptoms of COVID-19.,causes,['Tanzania'],archive.fo,https://www.facebook.com/permalink.php?story_fbid=101169651486936&id=101168624820372,facebook.com,2020-02-21,"['people', 'died', 'zanzibar', 'handling', 'chicken', 'infected', 'covid']"
4365,4/17/2020,India,,,,India,The Quint,Bihar’s Health Department has confirmed that poultry chicken is the source of coronavirus.,WhatsApp,Unavaliable,https://www.thequint.com/news/webqoof/bihar-confirms-chicken-as-source-of-covid-19-fake-newspaper-clipping-goes-viral,English,false,"There is no truth to the newspaper clipping. Firstly, the clipping itself is fake and has possibly been created using an online tool. Secondly, the Bihar Health Department has confirmed that no such observation has been made.",spread,['India'],N/A,Unavaliable,N/A,2020-04-17,"['bihar', 'health', 'department', 'confirmed', 'poultry', 'chicken', 'source', 'coronavirus']"
