,date,country_1,country_2,country_3,country_4,countries,organization,claim,source,source_url,fact_check_url,fact_check_lang,final_rating,explanation,category,countries_list,source_domain,resolved_url,resolved_domain,datetime,claim_p
159,1/29/2020,Turkey,,,,Turkey,Teyit,The Simpsons predicted the epidemic.,TV,https://teyit.fra1.cdn.digitaloceanspaces.com/wp-content/uploads/2020/01/kanal-d-simpsons-iddialari.mp4?_=1,https://teyit.org/the-simpsons-cinde-ortaya-cikan-koronavirusu-onceden-bildi-mi/,Turkish,false,"Osaka flu came from Japan in the related Simpsons episode, not from China.",conspiracy theory,['Turkey'],digitaloceanspaces.com,https://teyit.fra1.cdn.digitaloceanspaces.com/wp-content/uploads/2020/01/kanal-d-simpsons-iddialari.mp4?_=1,digitaloceanspaces.com,2020-01-29,"['simpsons', 'predicted', 'epidemic']"
197,1/30/2020,Bosnia and Herzegovina,,,,Bosnia and Herzegovina,Raskrinkavanje,The Simpsons predicted the new coronavirus outbreak.,Media,https://avaz.ba/zabava/zanimljivosti/546316/simpsonovi-su-predvidjeli-koronavirus-jos-1993-godine,https://raskrinkavanje.ba/analiza/prorocanstvo-iz-crtane-serije-simpsoni-zarazilo-i-portale-u-bih,Bosnian,false,"The Simpsons did not predicted the new coronavirus. The episod talked about the ""Osaka flu"". The image was photoshopped.",conspiracy theory,['Bosnia and Herzegovina'],avaz.ba,https://avaz.ba/zabava/zanimljivosti/546316/simpsonovi-su-predvidjeli-koronavirus-jos-1993-godine,avaz.ba,2020-01-30,"['simpsons', 'predicted', 'new', 'coronavirus', 'outbreak']"
310,2/3/2020,Middle East,North Africa,,,"Middle East, North Africa",Misbar,"""The Simpsons"" has predicted the coronavirus since 1993.","Facebook, Twitter",Unavaliable,https://misbar.com/factcheck/5e381eacd4a22965e67a4fe4,Arabic,misleading,"The episode refers to a virus called the Osaka Flu, transmitted through a factory in Japan. The name of the virus in the video was fabricated.",conspiracy theory,"['Middle East', 'North Africa']",N/A,Unavaliable,N/A,2020-02-03,"['simpsons', 'predicted', 'coronavirus', '1993']"
398,2/5/2020,Spain,,,,Spain,Maldita.es,"""The Simpsons"" predicted the new coronavirus outbreak.",Twitter,https://twitter.com/slant6225/status/1223089490115219458,https://maldita.es/malditobulo/no-los-simpson-no-predijeron-el-nuevo-brote-de-coronavirus-hablaron-de-una-gripe-en-japon-y-no-aparece-la-palabra-coronavirus-en-el-episodio/,Spanish,false,"The episode referred to a flu from Japan, not China, and one of the photos was manipulated.",conspiracy theory,['Spain'],twitter.com,https://twitter.com/slant6225/status/1223089490115219458,twitter.com,2020-02-05,"['simpsons', 'predicted', 'new', 'coronavirus', 'outbreak']"
458,2/7/2020,India,,,,India,BOOM FactCheck,The Asterix comic books and The Simpsons predicted the coronavirus outbreak.,Twitter,Unavaliable,https://www.boomlive.in/health/did-the-simpsons-and-comic-series-asterix-predict-the-2019-coronavirus-outbreak-6867,English,misleading,Coronavirus has been around since the 1960s. The Simpsons image was edited.,conspiracy theory,['India'],N/A,Unavaliable,N/A,2020-02-07,"['asterix', 'comic', 'books', 'simpsons', 'predicted', 'coronavirus', 'outbreak']"
941,3/3/2020,Brazil,,,,Brazil,Agência Lupa,The Simpsons predicted the coronavirus outbreak.,Facebook,https://www.facebook.com/photo.php?fbid=2767505936701260&set=a.391078674344010&type=3&theater,https://piaui.folha.uol.com.br/lupa/2020/03/03/verificamos-simpsons-previram-chegada-novo-coronavirus/,Portuguese,false,"The frames were taken from different episodes, about the Osaka flu and the housecat flu. One of them was digitally manipulated to include the word ""coronavirus.""",conspiracy theory,['Brazil'],facebook.com,https://www.facebook.com/photo.php?fbid=2767505936701260&set=a.391078674344010&type=3&theater,facebook.com,2020-03-03,"['simpsons', 'predicted', 'coronavirus', 'outbreak']"
976,3/4/2020,Iran,,,,Iran,Factnameh,The Simpsons predicted the coronavirus pandemic years ago.,Telegram,Unavaliable,https://factnameh.com/fact-checks/2020-03-04-simpsons-predictions.html,Farsi,false,"Other than the ""Osaka Flu"" infecting many residents of Springfield, the events of the 1993 episode ""Marge in Chains"" have no similarities with the COVID-19 pandemic.",conspiracy theory,['Iran'],N/A,Unavaliable,N/A,2020-03-04,"['simpsons', 'predicted', 'coronavirus', 'pandemic', 'years', 'ago']"
1327,3/12/2020,United States,,,,United States,PolitiFact,"In 2007, ""The Simpsons"" predicted Tom Hanks would contract coronavirus in 2007.",Facebook,https://crafty.diply.com/120334/the-simpsons-predicted-tom-hanks-getting-coronavirus-in-2007,https://www.politifact.com/factchecks/2020/mar/16/facebook-posts/simpsons-did-not-predict-tom-hanks-illness-coronav/,English,false,"In the closing credits of “The Simpson Movie,” Hanks says: ""This is Tom Hanks, saying, if you see me in person, leave me be."" The movie is about an environmental crisis. There’s no reference to any kind of outbreak.",conspiracy theory,['United States'],diply.com,https://crafty.diply.com/120334/the-simpsons-predicted-tom-hanks-getting-coronavirus-in-2007,diply.com,2020-03-12,"['2007', 'simpsons', 'predicted', 'tom', 'hanks', 'contract', 'coronavirus', '2007']"
1426,3/14/2020,Portugal,,,,Portugal,Observador,The Simpsons had already predicted the coronavirus pandemic.,Facebook,https://www.facebook.com/akibrinca/photos/a.676866609054530/3598601880214307/?type=3&theater,https://observador.pt/factchecks/fact-check-os-simpsons-previram-o-surto-de-coronavirus/,Portuguese,false,The claim is false. The images used to illustrate this were manipulated and are not original images from the series.,conspiracy theory,['Portugal'],facebook.com,https://www.facebook.com/akibrinca/photos/a.676866609054530/3598601880214307/?type=3&theater,facebook.com,2020-03-14,"['simpsons', 'predicted', 'coronavirus', 'pandemic']"
