,date,country_1,country_2,country_3,country_4,countries,organization,claim,source,source_url,fact_check_url,fact_check_lang,final_rating,explanation,category,countries_list,source_domain,resolved_url,resolved_domain,datetime,claim_p
709,2/24/2020,North Macedonia,,,,North Macedonia,Vistinomer,Nostradamus predicted the coronavirus.,Tocka,https://tocka.com.mk/vesti/333958/golema-cuma-vo-pomorskiot-grad-nostradamus-go-predvidel-koronavirusot-a-eve-koga-ke-zapre,https://truthmeter.mk/sensationalist-and-irresponsible-article-claiming-nostradamus-predicted-the-coronavirus/,English,false,"The predictions of Nostradamus are not correctly translated. Even if Nostradamus truly predicted a “plague,"" the title says it is taking place in a seaside town. The coronavirus originated in the city of Wuhan, China, which is not a seaside town.",conspiracy theory,['North Macedonia'],tocka.com.mk,https://tocka.com.mk/vesti/333958/golema-cuma-vo-pomorskiot-grad-nostradamus-go-predvidel-koronavirusot-a-eve-koga-ke-zapre,tocka.com.mk,2020-02-24,"['nostradamus', 'predicted', 'coronavirus']"
1460,3/15/2020,Colombia,,,,Colombia,Colombiacheck,Nostradamus predicted the coronavirus pandemic.,"Facebook, Twitter",https://www.facebook.com/CanalDoceGuaimaca/photos/a.869244749768064/4176118175747355/?type=3&theater,https://colombiacheck.com/chequeos/nostradamus-no-predijo-el-coronavirus-covid-19,Spanish,false,The text used as proof is not found on Nostradamus' writings.,conspiracy theory,['Colombia'],facebook.com,https://www.facebook.com/CanalDoceGuaimaca/photos/a.869244749768064/4176118175747355/?type=3&theater,facebook.com,2020-03-15,"['nostradamus', 'predicted', 'coronavirus', 'pandemic']"
1478,3/15/2020,Canada,,,,Canada,Décrypteurs - Radio-Canada,Nostradamus predicted the current COVID-19 pandemic.,Facebook,https://www.facebook.com/jacques.laplante.3158/posts/2537809866443864,https://ici.radio-canada.ca/nouvelle/1674251/coronavirus-covid-nostradamus-prediction-faux,French,false,The text attributed to Nostradamus does not exist in his book.,conspiracy theory,['Canada'],facebook.com,https://www.facebook.com/jacques.laplante.3158/posts/2537809866443864,facebook.com,2020-03-15,"['nostradamus', 'predicted', 'current', 'covid', 'pandemic']"
1519,3/16/2020,Ecuador,,,,Ecuador,Ecuador Chequea,Nostradamus predicted COVID-19.,Facebook,https://web.facebook.com/EcuadorChequea/photos/a.1240231929407502/2953272421436769/?type=3&theater,http://www.ecuadorchequea.com/las-mentiras-sobre-el-covid-19-en-ecuador/?check=20,Spanish,false,Please click the link to read the full article,conspiracy theory,['Ecuador'],facebook.com,https://web.facebook.com/EcuadorChequea/photos/a.1240231929407502/2953272421436769/?type=3&theater,facebook.com,2020-03-16,"['nostradamus', 'predicted', 'covid']"
1566,3/16/2020,Brazil,,,,Brazil,Estadão Verifica,Nostradamus predicted the coronavirus pandemic.,Facebook,Unavaliable,https://politica.estadao.com.br/blogs/estadao-verifica/coronavirus-postagens-inventam-profecia-de-nostradamus-sobre-pandemia/,Portuguese,false,There is no reference to such prophecy in Nostradamus' works.,conspiracy theory,['Brazil'],N/A,Unavaliable,N/A,2020-03-16,"['nostradamus', 'predicted', 'coronavirus', 'pandemic']"
1625,3/17/2020,Argentina,,,,Argentina,Chequeado,Nostradamus predicted the coronavirus pandemic.,"Facebook, WhatsApp",https://drive.google.com/file/d/18mqSeYkEmP9NzdsbQRiyeJ3ELEgKvJn0/view,https://chequeado.com/verificacionfb/es-falso-que-nostradamus-predijo-el-coronavirus/,Spanish,false,"The book ""Prophecies of Nostradamus"" doesn't include any of the words that are now being spread. The prophecies that record the words ""plague"" and ""dust"" are different from the one that circulates in the image that went viral.",conspiracy theory,['Argentina'],google.com,https://drive.google.com/file/d/18mqSeYkEmP9NzdsbQRiyeJ3ELEgKvJn0/view,google.com,2020-03-17,"['nostradamus', 'predicted', 'coronavirus', 'pandemic']"
2926,3/29/2020,India,,,,India,Factly,French Astrologer Nostradamus had predicted in 1551 that there would be an outbreak of coronavirus in China in 2020.,Social Media,https://www.facebook.com/photo.php?fbid=1269343876599203&set=a.1269343396599251&type=3&theater,https://factly.in/no-evidence-to-suggest-that-nostradamus-had-predicted-the-outbreak-of-coronavirus-in-2020/,English,false,No such prediction was ever made by Nostradamus. The prediction is being circulated only recently after the COVID-19 outbreak.,other,['India'],facebook.com,https://www.facebook.com/photo.php?fbid=1269343876599203&set=a.1269343396599251&type=3&theater,facebook.com,2020-03-29,"['french', 'astrologer', 'nostradamus', 'predicted', '1551', 'outbreak', 'coronavirus', 'china', '2020']"
3313,4/2/2020,United States,,,,United States,PolitiFact,Says Nostradamus predicted the coronavirus in a 1551 passage about a plague spreading from the east.,Facebook,https://www.facebook.com/photo.php?fbid=553295198650919&set=gm.559835078061593&type=3&theater&ifg=1,https://www.politifact.com/factchecks/2020/apr/06/facebook-posts/no-evidence-nostradamus-predicted-novel-coronaviru/,English,false,"The format doesn't match Nostradamus’ typical quatrain predictions, and we couldn't find the words in collections of his prophecies.",conspiracy theory,['United States'],facebook.com,https://www.facebook.com/photo.php?fbid=553295198650919&set=gm.559835078061593&type=3&theater&ifg=1,facebook.com,2020-04-02,"['says', 'nostradamus', 'predicted', 'coronavirus', '1551', 'passage', 'plague', 'spreading', 'east']"
3885,4/9/2020,India,,,,India,Factly,French astrologer Nostradamus had predicted in 1551 that there would be an outbreak of coronavirus in China in 2020.,Social Media,https://archive.fo/rqSaj,https://factly.in/telugu-no-evidence-to-suggest-that-nostradamus-had-predicted-the-outbreak-of-coronavirus-in-2020/,Telugu,false,No such prediction was ever made by Nostradamus. The prediction is being circulated only recently after the COVID-19 outbreak.,other,['India'],archive.fo,https://www.facebook.com/photo.php?fbid=2899082506842918&set=a.541761979241661&type=3,facebook.com,2020-04-09,"['french', 'astrologer', 'nostradamus', 'predicted', '1551', 'outbreak', 'coronavirus', 'china', '2020']"
5214,5/5/2020,India,,,,India,FactCrescendo,"Nostradamus predicted COVID-19 pandemic, Idukki dam collapse in July 2020 and other events in his book Les Propheties.",Facebook,https://archive.org/details/screencast-www.facebook.com-2020.05.05-16_05_33,https://www.malayalam.factcrescendo.com/a-collection-of-popular-fake-prophecies-purveyed-in-the-name-of-nostradamus/,Malayalam,false,No such prophecies regarding COVID-19 or Idukki dam have been made in the book.,other,['India'],archive.org,https://archive.org/details/screencast-www.facebook.com-2020.05.05-16_05_33,archive.org,2020-05-05,"['nostradamus', 'predicted', 'covid', 'pandemic', 'idukki', 'dam', 'collapse', 'july', '2020', 'events', 'book', 'les', 'propheties']"
