,date,country_1,country_2,country_3,country_4,countries,organization,claim,source,source_url,fact_check_url,fact_check_lang,final_rating,explanation,category,countries_list,source_domain,resolved_url,resolved_domain,datetime,claim_p
273,2/1/2020,United States,,,,United States,FactCheck.org,"Charles Lieber, a Harvard University professor who was arrested, had a connection to the new coronavirus.",Facebook,https://www.facebook.com/photo.php?fbid=10213953501545223&set=a.1904461944836&type=3&theater,https://www.factcheck.org/2020/02/no-link-between-harvard-scientist-charles-lieber-and-coronavirus/,English,misleading,"Charles Lieber, a nanoscientist, was charged with lying about participating in a Chinese recruitment program and his affiliation with a Chinese university. He has no connection to the new coronavirus.",conspiracy theory,['United States'],facebook.com,https://www.facebook.com/photo.php?fbid=10213953501545223&set=a.1904461944836&type=3&theater,facebook.com,2020-02-01,"['charles', 'lieber', 'harvard', 'university', 'professor', 'arrested', 'connection', 'new', 'coronavirus']"
3255,4/2/2020,France,Nigeria,,,"France, Nigeria",AFP,"Charles Lieber, Harvard university professor, has been arrested for ""creating and selling"" the new coronavirus to China.",Many social media platforms,https://perma.cc/HQ26-CTR9,https://factuel.afp.com/non-un-scientifique-americain-na-pas-ete-arrete-pour-avoir-fabrique-et-vendu-le-coronavirus,French,false,"Charles Lieber, who also worked for Wuhan University, was arrested in January 2020, but his arrest has nothing to do with the coronavirus outbreak.",conspiracy theory,"['France', 'Nigeria']",perma.cc,https://www.facebook.com/878851345484837/posts/2847552988614653,facebook.com,2020-04-02,"['charles', 'lieber', 'harvard', 'university', 'professor', 'arrested', 'creating', 'selling', 'new', 'coronavirus', 'china']"
3295,4/2/2020,Mexico,,,,Mexico,Animal Político,Charles Lieber was arrested for participating in the creation of the coronavirus.,Facebook,Unavaliable,https://www.animalpolitico.com/elsabueso/charles-libier-no-fue-detenido-por-crear-el-coronavirus-covid-19/,Spanish,false,"
Although Lieber's arrest is real, it had nothing to do with the coronavirus or COVID-19. Scientific evidence suggests that the virus was not intentionally created.",conspiracy theory,['Mexico'],N/A,Unavaliable,N/A,2020-04-02,"['charles', 'lieber', 'arrested', 'participating', 'creation', 'coronavirus']"
3326,4/2/2020,Canada,,,,Canada,Décrypteurs - Radio-Canada,Harvard professor Charles Lieber was arrested for creating the coronavirus and selling it to China.,www.radar-ra.net,http://www.radar-ra.net/actualites/le-monde-en-bref/item/15309-accuse-d-avoir-cree-le-covid-19-en-complicite-avec-la-chine-ce-biologiste-americain-a-ete-arrete-par-le-fbi,https://ici.radio-canada.ca/nouvelle/1692257/charles-lieber-chercheur-harvard-arrestation-coronavirus-sras-cov-2-chine-wuhan-faux,French,false,The reasons for his arrested were completely unrelated to the coronavirus,conspiracy theory,['Canada'],radar-ra.net,http://www.radar-ra.net/actualites/le-monde-en-bref/item/15309-accuse-d-avoir-cree-le-covid-19-en-complicite-avec-la-chine-ce-biologiste-americain-a-ete-arrete-par-le-fbi,radar-ra.net,2020-04-02,"['harvard', 'professor', 'charles', 'lieber', 'arrested', 'creating', 'coronavirus', 'selling', 'china']"
3484,4/4/2020,Australia,Timor,New Zealand,,"Australia, Timor, New Zealand",AAP FactCheck,"A claim that US scientist Charles Lieber was arrested for manufacturing and selling ""thecoronavirus to China”.",Facebook,https://www.facebook.com/santos.araujo.77/videos/vb.100003986370781/1716048955204634/?type=2&theater,https://www.aap.com.au/us-scientist-was-not-arrested-for-selling-coronavirus-to-china/,English,false,"Dr Charles Lieber was arrested for “making a materially false, fictitious and fraudulent statement” on funds he received from Wuhan University of Technology and over his alleged links to a Chinese government program. Lieber was not arrested for manufacturing or selling coronavirus.",conspiracy theory,"['Australia', 'Timor', 'New Zealand']",facebook.com,https://www.facebook.com/santos.araujo.77/videos/vb.100003986370781/1716048955204634/?type=2&theater,facebook.com,2020-04-04,"['claim', 'scientist', 'charles', 'lieber', 'arrested', 'manufacturing', 'selling', 'thecoronavirus', 'china']"
3512,4/5/2020,India,,,,India,India Today,"Dr. Charles Lieber, a Harvard professor, was arrested for creating coronavirus and selling it to China.",Facebook,http://archive.today/f3Swa,https://www.indiatoday.in/fact-check/story/truth-coronavirus-conspiracy-theory-behind-arrest-harvard-professor-1663659-2020-04-05,English,mostly false,Dr Charles Lieber was arrested by U.S. authorities for concealing Chinese funding. This arrest has no connection to the coronavirus.,conspiracy theory,['India'],archive.today,https://www.facebook.com/tony.sweany.5/posts/275245730151568,facebook.com,2020-04-05,"['charles', 'lieber', 'harvard', 'professor', 'arrested', 'creating', 'coronavirus', 'selling', 'china']"
3540,4/5/2020,Spain,United States,France,Indonesia,"Spain, United States, France, Indonesia",Newtral.es,"Dr. Charles Lieber, a Harvard professor, was arrested for creating coronavirus and selling it to China.",WhatsApp,Unavaliable,https://www.newtral.es/eeuu-no-ha-detenido-al-dr-charles-lieber-por-fabricar-y-vender-el-coronavirus-a-china/20200405/,Spanish,false,"Charles Lieber was arrested in January, but the arrest is unrelated to the COVID-19 coronavirus.",conspiracy theory,"['Spain', 'United States', 'France', 'Indonesia']",N/A,Unavaliable,N/A,2020-04-05,"['charles', 'lieber', 'harvard', 'professor', 'arrested', 'creating', 'coronavirus', 'selling', 'china']"
3564,4/6/2020,Spain,United States,China,,"Spain, United States, China",Maldita.es,A message claims that Dr. Charles Lieber has been arrested for manufacturing the coronavirus.,WhatsApp,Unavaliable,https://maldita.es/malditobulo/2020/04/06/charles-lieber-detenido-coronavirus-sars-cov-2/,Spanish,false,"Dr. Charles Lieber is head of the department of chemistry and biology at Harvard University, USA. He was arrested in January for charging from a Chinese university at the same time it was collecting from the US government, not for selling and manufacturing the coronavirus.",conspiracy theory,"['Spain', 'United States', 'China']",N/A,Unavaliable,N/A,2020-04-06,"['message', 'claims', 'charles', 'lieber', 'arrested', 'manufacturing', 'coronavirus']"
3570,4/6/2020,Brazil,,,,Brazil,Agência Lupa,American researcher Charles Lieber was arrested for selling the novel coronavirus to the Chinese.,Facebook,https://www.facebook.com/gustavo.borjasurniche/videos/3136426719730514/,https://piaui.folha.uol.com.br/lupa/2020/04/06/verificamos-e-falso-pesquisador-preso-por-fabricar-coronavirus/,Portuguese,false,"The man was not arrested for selling the novel coronavirus to the Chinese. He was arrested for not informing the American authorities he was working on Chinese science programs while, simultaneously, working on research projects funded by the American government.",conspiracy theory,['Brazil'],facebook.com,https://www.facebook.com/gustavo.borjasurniche/videos/3136426719730514/,facebook.com,2020-04-06,"['american', 'researcher', 'charles', 'lieber', 'arrested', 'selling', 'novel', 'coronavirus', 'chinese']"
3640,4/6/2020,Kenya,,,,Kenya,AfricaCheck,"Dr Charles Lieber, a Harvard professor, has been arrested in the USA for manufacturing the coronavirus and selling it to China. A video news report from WCVB, a TV station in Boston, Massachusetts, is shared with the Facebook post. ",Facebook. ,https://www.facebook.com/groups/groupkenya/permalink/3753092764785591/,https://africacheck.org/fbcheck/no-harvard-professor-not-arrested-in-us-for-manufacturing-coronavirus-selling-it-to-china/,English,false,"Lieber was arrested, alongside two Chinese nationals, but the arrests had nothing to do with the new coronavirus. All reputable evidence so far, including from the World Health Organization, shows that the new coronavirus was not “manufactured”. ",causes,['Kenya'],facebook.com,https://www.facebook.com/groups/groupkenya/permalink/3753092764785591/,facebook.com,2020-04-06,"['charles', 'lieber', 'harvard', 'professor', 'arrested', 'usa', 'manufacturing', 'coronavirus', 'selling', 'china', 'video', 'news', 'report', 'wcvb', 'station', 'boston', 'massachusetts', 'shared', 'facebook', 'post']"
