,date,country_1,country_2,country_3,country_4,countries,organization,claim,source,source_url,fact_check_url,fact_check_lang,final_rating,explanation,category,countries_list,source_domain,resolved_url,resolved_domain,datetime,claim_p
2604,3/26/2020,India,,,,India,Factly,Mustard oil prevents a person from getting infected with COVID-19.,Many social media platforms,https://www.facebook.com/ashokkumargupta.gupta/posts/3153421711359194,https://factly.in/mustard-oil-has-health-benefits-but-does-not-prevent-covid-19/,English,false,Neither the WHO nor the the Ministry for Health & Family Welfare (India) has announced that using mustard oil can prevent a person from getting infected with COVID-19. The Press Information Bureau (PIB) has clarified that the message is fake.,other,['India'],facebook.com,https://www.facebook.com/ashokkumargupta.gupta/posts/3153421711359194,facebook.com,2020-03-26,"['mustard', 'oil', 'prevents', 'person', 'getting', 'infected', 'covid']"
3000,3/30/2020,India,,,,India,FactCrescendo,Rubbing mustard oil on your nostrils can prevent coronavirus.,"Facebook, WhatsApp",https://archive.org/details/download_20200328_1607,https://www.factcrescendo.com/fact-check-mustard-oil-can-cure-coronavirus/,Hindi,false,Rubbing mustard oil cannot prevent coronavirus.,spread,['India'],archive.org,https://archive.org/details/download_20200328_1607,archive.org,2020-03-30,"['rubbing', 'mustard', 'oil', 'nostrils', 'prevent', 'coronavirus']"
3895,4/10/2020,India,,,,India,Vishvas News,Mustard oil can kill coronavirus.,Fb user: Mahendra Palecha,https://www.facebook.com/ReformerPerformerTransformer/posts/146196713562087?__tn__=-R,https://www.vishvasnews.com/english/health/fact-check-no-mustard-oil-cannot-cure-coronavirus-however-it-has-certain-health-benefits/,English,false,"No, mustard oil cannot cure coronavirus; however, it has certain health benefits. The viral post claiming that mustard oil can kill coronavirus is fake.",cures,['India'],facebook.com,https://www.facebook.com/ReformerPerformerTransformer/posts/146196713562087?__tn__=-R,facebook.com,2020-04-10,"['mustard', 'oil', 'kill', 'coronavirus']"
3952,4/11/2020,India,,,,India,Vishvas News,Mustard oil can kill coronavirus.,FB page: ﻿Mahendra Palecha,https://www.facebook.com/ReformerPerformerTransformer/posts/146196713562087?__xts__[0]=68.ARCnJkbZTpb2M5XMJR3zaRR8qXOAuXqWW6YV5KVraQk1wY-6arVzcCQ2C6UT9XJ5mNJgnzs4dAKpjBmg8F6a2XAa3ZAZkVvUsa9o9WQTk4s5VR2y7t35h6cWDoaTOkNhazAb6f2zC6mR3gtBT6pUAHYKvx2LzvwEc2SwndRjf11XXLEuI9v5Wxi1ugmBLA_OPreJiUJcZGhQkQIbzOwFIKaIjFjcCUyyN0UxvFYQ7nLBvlsiRvExAKnTSAJRI7wVCKoKymLUlHn8Bl_GNo6IziCIeBziULWUAadA12wDc6ZQdtfbsM7ZYDEsfnUOa7enZIoXclEw_h-BGgQPkls&__tn__=-R,https://www.vishvasnews.com/health/fact-check-no-mustard-oil-cannot-cure-coronavirus-however-it-has-certain-health-benefits-2/,Hindi,false,"No, Mustard oil cannot cure coronavirus; however, it has certain health benefits. The viral post claiming that mustard oil can kill coronavirus is fake.",cures,['India'],facebook.com,https://www.facebook.com/ReformerPerformerTransformer/posts/146196713562087?__xts__[0]=68.ARCnJkbZTpb2M5XMJR3zaRR8qXOAuXqWW6YV5KVraQk1wY-6arVzcCQ2C6UT9XJ5mNJgnzs4dAKpjBmg8F6a2XAa3ZAZkVvUsa9o9WQTk4s5VR2y7t35h6cWDoaTOkNhazAb6f2zC6mR3gtBT6pUAHYKvx2LzvwEc2SwndRjf11XXLEuI9v5Wxi1ugmBLA_OPreJiUJcZGhQkQIbzOwFIKaIjFjcCUyyN0UxvFYQ7nLBvlsiRvExAKnTSAJRI7wVCKoKymLUlHn8Bl_GNo6IziCIeBziULWUAadA12wDc6ZQdtfbsM7ZYDEsfnUOa7enZIoXclEw_h-BGgQPkls&__tn__=-R,facebook.com,2020-04-11,"['mustard', 'oil', 'kill', 'coronavirus']"
4207,4/14/2020,India,,,,India,Vishvas News,Mustard oil can kill coronavirus.,Facebook,http://archive.md/Oqfcd,https://www.vishvasnews.com/urdu/politics/fact-check-mustard-oil-can-not-cure-corona-virus/,Urdu,false,"No, Mustard oil cannot cure coronavirus; however, it has certain health benefits. The viral post claiming that mustard oil can kill coronavirus is fake.",cures,['India'],archive.md,https://www.facebook.com/shivnarayan.bhardwaj.7/posts/643659762869681,facebook.com,2020-04-14,"['mustard', 'oil', 'kill', 'coronavirus']"
4867,4/28/2020,India,,,,India,The Quint,Applying mustard oil in your nostrils will kill coronavirus.,Yoga guru Baba Ramdev,Unavaliable,https://www.thequint.com/news/webqoof/no-medical-evidence-for-baba-ramdevs-claim-about-coronavirus-mustard-oil-and-holding-breath-fact-check,English,misleading,We spoke to some doctors and medical experts who rubbished the claim and said there is no study to back this claim. ,cures,['India'],N/A,Unavaliable,N/A,2020-04-28,"['applying', 'mustard', 'oil', 'nostrils', 'kill', 'coronavirus']"
4951,5/1/2020,India,,,,India,BOOM FactCheck,COVID-19 self testing by holidng breath and put mustard oil through nose will kill the coronavirus.,Yogaguru Ramdev,https://www.facebook.com/OfficialFekuexpress/photos/a.336082760182270/962335714223635/,https://bangla.boomlive.in/fake-news/ramdevs-claims-of-self-testing-mustard-oil-not-backed-by-research-7940,Bangla,false,"There is no scientifically recognised method that by holding breath someone can do self testing of COVID-19 status and that stomac acid ""kills"" the virus.",cures,['India'],facebook.com,https://www.facebook.com/OfficialFekuexpress/photos/a.336082760182270/962335714223635/,facebook.com,2020-05-01,"['covid', 'self', 'testing', 'holidng', 'breath', 'mustard', 'oil', 'nose', 'kill', 'coronavirus']"
4952,5/2/2020,India,,,,India,BOOM FactCheck,Baba Ramdev claims that COVID-19 can be self diagnosed by controlling breathing and that mustard oil kills the virus.,Baba Ramdev for a news channel,https://aajtak.intoday.in/video/eagenda-aaj-tak-live-corona-virus-rambaan-se-bhagega-corona-yog-guru-baba-ramdev-gives-tips-to-increase-immunity-1-1184338.html,https://www.boomlive.in/fake-news/ramdevs-claims-of-self-testing-mustard-oil-not-backed-by-research-7934,English,false,"Both the claims are false, controlling of breath is not a scientific way to test for COVID-19 and mustard oil's benefits for COVID-19 have not been studied.",,['India'],intoday.in,https://aajtak.intoday.in/video/eagenda-aaj-tak-live-corona-virus-rambaan-se-bhagega-corona-yog-guru-baba-ramdev-gives-tips-to-increase-immunity-1-1184338.html,intoday.in,2020-05-02,"['baba', 'ramdev', 'claims', 'covid', 'self', 'diagnosed', 'controlling', 'breathing', 'mustard', 'oil', 'kills', 'virus']"
5153,5/5/2020,India,,,,India,BOOM FactCheck,"Holding your breath for 30 seconds is a test for COVID-19. By putting mustard oil in the nose, coronavirus will flow into the stomach and die in acid.",Yoga Guru Baba Ramdev said in an interview on national TV,https://aajtak.intoday.in/video/eagenda-aaj-tak-live-corona-virus-rambaan-se-bhagega-corona-yog-guru-baba-ramdev-gives-tips-to-increase-immunity-1-1184338.html?jwsource=cl,https://hindi.boomlive.in/fake-news/ramdevs-claims-of-self-testing-mustard-oil-not-backed-by-research-7959,Hindi,false,There is no research or scientific evidence to support this measure of killing coronavirus.,cures,['India'],intoday.in,https://aajtak.intoday.in/video/eagenda-aaj-tak-live-corona-virus-rambaan-se-bhagega-corona-yog-guru-baba-ramdev-gives-tips-to-increase-immunity-1-1184338.html?jwsource=cl,intoday.in,2020-05-05,"['holding', 'breath', 'seconds', 'test', 'covid', 'putting', 'mustard', 'oil', 'nose', 'coronavirus', 'flow', 'stomach', 'die', 'acid']"
