,date,country_1,country_2,country_3,country_4,countries,organization,claim,source,source_url,fact_check_url,fact_check_lang,final_rating,explanation,category,countries_list,source_domain,resolved_url,resolved_domain,datetime,claim_p
1983,3/20/2020,Croatia,,,,Croatia,Faktograf,Favipiravir is a miracle cure for COVID-19.,Media,https://archive.li/veAhl,https://faktograf.hr/2020/03/20/favipiravir-mozda-moze-pomoci-oboljelima-od-covida-19-ali-prerano-ga-je-proglasavati-cudotvornim-lijekom/,Croatian,false,Favipiravir is among the drugs being tested to treat COVID-19 but there's no proof it can cure the disease.,cures,['Croatia'],archive.li,https://ekskluziva.ba/slavlje-u-cijelom-svijetu-pronaden-lijek-protiv-korone-vec-se/359639?fbclid=IwAR31RXGyrzgGXRfcfgbveGI9C_-eY0JncZub-ku-5Wv4YOPS8lSlki2pji4,ekskluziva.ba,2020-03-20,"['favipiravir', 'miracle', 'cure', 'covid']"
2108,3/21/2020,North Macedonia,Croatia,Bosnia and Herzegovina,,"North Macedonia, Croatia, Bosnia and Herzegovina",Vistinomer,"A drug called Favipiravir is a cure for coronavirus, and people are advised not to go inside their homes wearing shoes because they can bring the infection home.",Media,https://archive.li/veAhl,https://vistinomer.mk/potvrden-lek-ushte-nema-a-korona-virusot-ne-vleguva-doma-so-patikite/,Macedonian,mostly false,"Favipiravir may help treat those who have mild symptoms of COVID-19 but not those who are more severely ill. The director of the Spanish Center for Emergency Coordination Fernando Simon said on 3/16/20 that there was no need to leave shoes outside of the home. The same opinion is held by the head of the Italian Institute of Health, Silvio Brusaferro, and Fabrizio Preljasko, a virologist at the University of Milan.",cures,"['North Macedonia', 'Croatia', 'Bosnia and Herzegovina']",archive.li,https://ekskluziva.ba/slavlje-u-cijelom-svijetu-pronaden-lijek-protiv-korone-vec-se/359639?fbclid=IwAR31RXGyrzgGXRfcfgbveGI9C_-eY0JncZub-ku-5Wv4YOPS8lSlki2pji4,ekskluziva.ba,2020-03-21,"['drug', 'called', 'favipiravir', 'cure', 'coronavirus', 'people', 'advised', 'inside', 'homes', 'wearing', 'shoes', 'bring', 'infection', 'home']"
2309,3/23/2020,Turkey,,,,Turkey,Teyit,Favipiravir cures COVID-19.,Twitter,https://twitter.com/ChinaEmbTurkey/status/1239983399886041093,https://teyit.org/favipiravir-adli-ilacin-covid-19-tedavi-suresini-kisaltarak-iyilestirdigi-iddiasi/,Turkish,no evidence,Favipiravir is still on trial in Japan and Korea. The treatment benefits are not certain yet.,cures,['Turkey'],twitter.com,https://twitter.com/ChinaEmbTurkey/status/1239983399886041093,twitter.com,2020-03-23,"['favipiravir', 'cures', 'covid']"
