,date,country_1,country_2,country_3,country_4,countries,organization,claim,source,source_url,fact_check_url,fact_check_lang,final_rating,explanation,category,countries_list,source_domain,resolved_url,resolved_domain,datetime,claim_p
2827,3/28/2020,United States,,,,United States,LeadStories,If Florida banned alcohol sales due to coronavirus.,channel54news.com,Unavaliable,https://leadstories.com/hoax-alert/2020/03/Fact-Check-Florida-Did-NOT-Ban-Alcohol-Sales-Beginning-Today.html,English,false,Story came from a prank news generator.,conspiracy theory,['United States'],N/A,Unavaliable,N/A,2020-03-28,"['florida', 'banned', 'alcohol', 'sales', 'coronavirus']"
6058,3/29/2020,Thailand,,,,Thailand,Sure And Share Center MCOT,"Don't left alcohol gel in your car, it could burn and explode.",LINE app,Unavaliable,https://covid19.mcot.net/sure-alcohol-gel-explode/,Thai,false,"Even if alcohol gel is inflammable,  it couldn't cause a fire by itself in a car. A flame from another source is need for it to catch on fire.",other,['Thailand'],N/A,Unavaliable,N/A,2020-03-29,"['left', 'alcohol', 'gel', 'car', 'burn', 'explode']"
3018,3/30/2020,United States,,,,United States,PolitiFact,Says certain states are banning the sale of alcohol.,Facebook,https://www.facebook.com/photo.php?fbid=10216470784302842&set=a.1585120028611&type=3&theater,https://www.politifact.com/factchecks/2020/mar/30/facebook-posts/no-states-illinois-and-california-arent-banning-al/,English,false,Claims that states are banning alcohol sales appear to have originated on a prank page.,authorities,['United States'],facebook.com,https://www.facebook.com/photo.php?fbid=10216470784302842&set=a.1585120028611&type=3&theater,facebook.com,2020-03-30,"['says', 'certain', 'states', 'banning', 'sale', 'alcohol']"
2972,3/30/2020,Kenya,,,,Kenya,PesaCheck,A new alcohol-free sanitizer has been developed by the Dedan Kimathi University in Kenya.,Standard Digital,https://www.standardmedia.co.ke/article/2001364705/alcohol-free-sanitizer-invented-to-curb-covid-19-spread?fbclid=IwAR0Zspel-FxZFIUiLgcWvE58ubcl4apI5E25PHbsDNZjiXNDn7jIzDdIfsw,https://pesacheck.org/false-this-new-alcohol-free-hand-sanitizer-actually-contains-60-alcohol-2f31d4d41b12?source=rss----ab41f21aa9a9---4,English,false,The hand sanitizer developed by the Dedan Kimathi University actually contains alcohol.,other,['Kenya'],standardmedia.co.ke,https://www.standardmedia.co.ke/article/2001364705/alcohol-free-sanitizer-invented-to-curb-covid-19-spread?fbclid=IwAR0Zspel-FxZFIUiLgcWvE58ubcl4apI5E25PHbsDNZjiXNDn7jIzDdIfsw,standardmedia.co.ke,2020-03-30,"['new', 'alcohol', 'free', 'sanitizer', 'developed', 'dedan', 'kimathi', 'university', 'kenya']"
3210,4/1/2020,Ireland,,,,Ireland,TheJournal.ie,"A strict ban on the selling, purchasing and consumption of alcohol is to come into effect in Ireland under the new emergency health legislation as part of the ongoing effort to fight coronavirus ",WhatsApp,https://img2.thejournal.ie/inline/5064007/original/?width=630&version=5064007,https://www.thejournal.ie/dont-worry-the-off-licences-arent-closing-5064004-Apr2020/?,English,false,"There are no plans to ban the buying, selling or consumption of alcohol in Ireland. The screenshot of the government website included in this message had been doctored to suggest that such a ban was imminent. ",authorities,['Ireland'],thejournal.ie,https://img2.thejournal.ie/inline/5064007/original/?width=630&version=5064007,thejournal.ie,2020-04-01,"['strict', 'ban', 'selling', 'purchasing', 'consumption', 'alcohol', 'come', 'effect', 'ireland', 'new', 'emergency', 'health', 'legislation', 'ongoing', 'effort', 'fight', 'coronavirus']"
3243,4/2/2020,India,,,,India,AFP,A video has been viewed tens of thousands of times in multiple posts on Facebook and Twitter in April 2020 alongside a claim it shows the arrest of Indian activist Trupti Desai after she attempted to buy alcohol during a government-imposed lockdown triggered by the COVID-19 pandemic.,"Facebook, Twitter",https://perma.cc/BD7X-8Z9R,https://factcheck.afp.com/video-has-circulated-reports-about-indian-activist-trupti-desais-arrest-september-2019?fbclid=IwAR3zKVAJedGrbILlyKWvbIGXmJjnD_DACHAMdkkMFt2h4W32i31I10DWfik,English,false,The claim is false; this video has circulated in reports about Desai's arrest during a protest against the sale of alcohol in Maharashtra state in September 2019; the reports circulated months before the novel coronavirus was first detected in the Chinese city of Wuhan.,other,['India'],perma.cc,https://www.facebook.com/jagat.pandit.777/videos/209770356975618/,facebook.com,2020-04-02,"['video', 'viewed', 'tens', 'thousands', 'times', 'multiple', 'posts', 'facebook', 'twitter', 'april', '2020', 'alongside', 'claim', 'shows', 'arrest', 'indian', 'activist', 'trupti', 'desai', 'attempted', 'buy', 'alcohol', 'government', 'imposed', 'lockdown', 'triggered', 'covid', 'pandemic']"
3329,4/2/2020,Denmark,,,,Denmark,TjekDet.dk,Danes are drinking less alcohol during the coronavirus crisis,The Alcohol and Society Organization,https://www.dr.dk/nyheder/indland/eksperter-advarer-mange-drikker-meget-i-karantaenetid,https://www.mm.dk/tjekdet/artikel/drikker-danskerne-virkelig-mere-alkohol-i-coronatiden,Danish,no evidence,There is no evidence to suggest that Danes drink more alcohol than before the virus. General sales figures do not indicate that more alcohol is currently being sold. ,other,['Denmark'],dr.dk,https://www.dr.dk/nyheder/indland/eksperter-advarer-mange-drikker-meget-i-karantaenetid,dr.dk,2020-04-02,"['danes', 'drinking', 'alcohol', 'coronavirus', 'crisis']"
4068,4/13/2020,Costa Rica,,,,Costa Rica,La Nación,Cars are burned by the use of alcohol gel.,"Facebook, WhatsApp",Unavaliable,https://www.nacion.com/no-coma-cuento/nocomacuento-bomberos-no-tiene-reportes-de/YFJOP4EEFBF5FID7KLE334OQF4/story/,Spanish,false,The Fire Department does not have any reports of explosions or car fires caused by the use of gel alcohol and ensures that the chances of such a situation occurring are practically nil.,other,['Costa Rica'],N/A,Unavaliable,N/A,2020-04-13,"['cars', 'burned', 'use', 'alcohol', 'gel']"
5648,4/13/2020,Germany,,,,Germany,Correctiv,"A picture that is shared in Social Media compared deaths by malaria, alcohol, car accidents, the flu, suicide and other causes since the beginning of 2020 with COVID-19. The message is that the number of people who die of COVID-19 is low in comparison.",Facebook,Unavaliable,https://correctiv.org/faktencheck/2020/05/02/vergleich-der-anzahl-von-todesopfern-durch-covid-19-mit-anderen-todesursachen-ist-irrefuehrend,German,no evidence,"The numbers cited on the picture are outdated or unproven. Plus, the different causes of death are not comparable, they have nothing in common.",other,['Germany'],N/A,Unavaliable,N/A,2020-04-13,"['picture', 'shared', 'social', 'media', 'compared', 'deaths', 'malaria', 'alcohol', 'car', 'accidents', 'flu', 'suicide', 'causes', 'beginning', '2020', 'covid', 'message', 'number', 'people', 'die', 'covid', 'low', 'comparison']"
4197,4/14/2020,Kenya,,,,Kenya,AFP,A video of Nairobi governor Mike Sonko claiming the World Health Organization (WHO) recommends drinking alcohol to help prevent the new coronavirus is circulating online.,press briefing,http://archive.is/Q0ff0,https://factcheck.afp.com/kenya-governor-quotes-non-existent-who-research-defend-alcohol-donations,English,false,"The claim is false; the WHO has, in fact, warned the public against excessive alcohol consumption during the pandemic.",authorities,['Kenya'],archive.is,https://www.facebook.com/watch/?v=2585538508365616,facebook.com,2020-04-14,"['video', 'nairobi', 'governor', 'mike', 'sonko', 'claiming', 'world', 'health', 'organization', 'recommends', 'drinking', 'alcohol', 'help', 'prevent', 'new', 'coronavirus', 'circulating', 'online']"
