,date,country_1,country_2,country_3,country_4,countries,organization,claim,source,source_url,fact_check_url,fact_check_lang,final_rating,explanation,category,countries_list,source_domain,resolved_url,resolved_domain,datetime,claim_p
4784,4/26/2020,India,,,,India,FactCrescendo,Americans singing Indian National Anthem thanking India for sending hydroxychloroquine tablets.,Facebook/Twitter,https://archive.org/details/586_20200425,https://www.factcrescendo.com/fact-check-americans-singing-indian-anthem-as-a-thank-you-for-supplying-hcq-tablets/,Hindi,false,This is an old and unrelated video where a YouTuber named Rickshawali paid tribute to Indian on Independence Day.,other,['India'],archive.org,https://archive.org/details/586_20200425,archive.org,2020-04-26,"['americans', 'singing', 'indian', 'national', 'anthem', 'thanking', 'india', 'sending', 'hydroxychloroquine', 'tablets']"
4777,4/26/2020,India,,,,India,Factly,Video of American students singing Indian National Anthem as a sign of gratitude towards India for the supply of Hydroxychloroquine drugs during the crisis caused by COVID-19 spread.,Social Media,http://archive.ph/lpOfP,https://factly.in/an-old-video-shared-as-usa-students-singing-indian-national-anthem-as-a-sign-of-gratitude-for-supplying-hydroxychloroquine/,English,misleading,The video used to claim that 'American students singing Indian National Anthem as a sign of gratitude towards India for the supply of Hydroxychloroquine drugs during the crisis caused by COVID-19 spread' is an old one. It was shot in 2017 to mark the 71st Indian Independence Day celebrations.,other,['India'],archive.ph,https://www.facebook.com/rupali.patiljain/videos/10158424592834571/,facebook.com,2020-04-26,"['video', 'american', 'students', 'singing', 'indian', 'national', 'anthem', 'sign', 'gratitude', 'india', 'supply', 'hydroxychloroquine', 'drugs', 'crisis', 'caused', 'covid', 'spread']"
5182,4/27/2020,United States,,,,United States,PolitiFact,"Dr. Anthony Fauci ""has known for 15 years that chloroquine and … hydroxychloroquine will not only treat a current case of coronavirus but prevent future cases.”",Bloggers,https://web.archive.org/web/20200506140801/https://onenewsnow.com/perspectives/bryan-fischer/2020/04/27/fauci-knew-about-hcq-in-2005-nobody-needed-to-die,https://www.politifact.com/factchecks/2020/may/06/blog-posting/dont-fall-conspiracy-about-dr-anthony-fauci-hydrox/,English,false,"An article published by a website run by an anti-LGBTQ political organization claims Dr. Anthony Fauci knew in 2005 that hydroxychloroquine was effective against human coronaviruses. The article cites a 2005 study that found a related drug, chloroquine, could inhibit the spread of Severe Acute Respiratory Syndrome. There is no known treatment, cure or vaccine for the novel coronavirus or SARS. While some early research suggests hydroxychloroquine could treat COVID-19 symptoms, other studies have found no discernible effect.",cures,['United States'],archive.org,https://onenewsnow.com/perspectives/bryan-fischer/2020/04/27/fauci-knew-about-hcq-in-2005-nobody-needed-to-die,onenewsnow.com,2020-04-27,"['anthony', 'fauci', 'known', 'years', 'chloroquine', 'hydroxychloroquine', 'treat', 'current', 'case', 'coronavirus', 'prevent', 'future', 'cases']"
4810,4/27/2020,India,,,,India,FactCrescendo,Videos showing American students singing the Indian national anthem to thank India for supplying hydroxychloroquine.,"WhatsApp, Facebook",https://archive.org/details/claim-video-indian-national-anthem-by-foreigners,https://marathi.factcrescendo.com/did-foreigners-sing-indian-national-anthem-as-gesture-to-thank-india-for-hcq/,Marathi,false,"It was a 2-year-old video. A YouTuber, Anisha Dixit, had made this video to celebrate global freedom and diversity on the occasion of 71st Independence Day of India.",other,['India'],archive.org,https://archive.org/details/claim-video-indian-national-anthem-by-foreigners,archive.org,2020-04-27,"['videos', 'showing', 'american', 'students', 'singing', 'indian', 'national', 'anthem', 'thank', 'india', 'supplying', 'hydroxychloroquine']"
5916,4/28/2020,United States,,,,United States,LeadStories,Thousands of doctors say hydroxychloroquine cures coronavirus.,facebook,https://www.facebook.com/cocoabeachflorida7/posts/10207422357073105,https://leadstories.com/hoax-alert/2020/05/fact-check-hydrochloroquine-not-a-vaccine-being-held-back-and-studies-are-underway-for-drugs-that-will-not-be-immediately-injected-into-people.html,English,false,"DA has warned against use of hydroxychloroquine with COVID-19 patients because of severe risks, including death. And second, Fauci did not say a ""vaccine"" would be rushed without proper study.",cures,['United States'],facebook.com,https://www.facebook.com/cocoabeachflorida7/posts/10207422357073105,facebook.com,2020-04-28,"['thousands', 'doctors', 'hydroxychloroquine', 'cures', 'coronavirus']"
4920,4/30/2020,Brazil,,,,Brazil ,Estadão Verifica,"Helder Barbalho, governo of Brazilian state of Pará, hides hydroxychloroquine in warehouse in order not to give to population and let people die.",Facebook posts,https://www.facebook.com/myrkocarneiro.carneiro/posts/1089038628138488,https://politica.estadao.com.br/blogs/estadao-verifica/foto-de-galpao-com-remedios-e-tirada-de-contexto-para-criticar-combate-a-covid-19-no-para/,Portuguese,false,The photo used in the rumor was posted by the governor itself and shows the medicine acquired by the government to be delivered to hospitals. States's government says all the medicine acquired were held out as demanded,authorities,['Brazil'],facebook.com,https://www.facebook.com/myrkocarneiro.carneiro/posts/1089038628138488,facebook.com,2020-04-30,"['helder', 'barbalho', 'governo', 'brazilian', 'state', 'pará', 'hides', 'hydroxychloroquine', 'warehouse', 'order', 'population', 'let', 'people', 'die']"
4934,4/30/2020,Portugal,,,,Portugal,Poligrafo,"Hydroxychloroquine ""cures COVID-19"" but there is a conspiracy by Biil Gates and Dr. Fauci to ban it.", A website,https://www.oevento.pt/2020/04/23/hidroxicloroquina/?fbclid=IwAR2y50kHUfbeoBbkciJIZcxQYi8slhCtOHk2aziODdAxi06PtSWrSnLzfoM,https://poligrafo.sapo.pt/fact-check/a-hidroxicloroquina-cura-a-covid-19-mas-ha-uma-conspiracao-de-gates-e-fauci-para-a-proibir,Portuguese,false,"There is no evidence that Bill Gates and Anthony Fauci are conspiring in order to ""hide"" hydroxycloroquine.",conspiracy theory,['Portugal'],oevento.pt,https://www.oevento.pt/2020/04/23/hidroxicloroquina/?fbclid=IwAR2y50kHUfbeoBbkciJIZcxQYi8slhCtOHk2aziODdAxi06PtSWrSnLzfoM,oevento.pt,2020-04-30,"['hydroxychloroquine', 'cures', 'covid', 'conspiracy', 'biil', 'gates', 'fauci', 'ban']"
5156,4/30/2020,India,,,,India,BOOM FactCheck,"American students are siging the Indian national anthem, as a gesture of thanking India for supplying Hydroxychloroquine to USA.","Facebook, Twitter & WhatsApp",https://twitter.com/rovingeye6/status/1253508676616204288?s=20,https://hindi.boomlive.in/fake-news/us-students-sing-national-anthem-to-thank-india-for-hydroxychloroquine-a-factcheck-7901,Hindi,false,The video is three years old and has no relation to coronavirus or Hydroxycholoroquine.,other,['India'],twitter.com,https://twitter.com/rovingeye6/status/1253508676616204288?s=20,twitter.com,2020-04-30,"['american', 'students', 'siging', 'indian', 'national', 'anthem', 'gesture', 'thanking', 'india', 'supplying', 'hydroxychloroquine', 'usa']"
4955,5/2/2020,India,,,,India,FactCrescendo,American students thank Indians for hydroxychloroquine by singing the Indian National Anthem.,Facebook/Twitter,http://archive.is/wip/ZXoBu,https://www.malayalam.factcrescendo.com/false-news-sharing-as-us-students-performing-indian-national-anthem-to-thank-india-for-covid-medicine/,Malayalam,false,It's an old video created by an Indian YouTuber and has got nothing to do with hydroxychloroquine or COVID-19.,other,['India'],archive.is,https://www.facebook.com/sreekumar.snair.5/videos/2975822339165002/,facebook.com,2020-05-02,"['american', 'students', 'thank', 'indians', 'hydroxychloroquine', 'singing', 'indian', 'national', 'anthem']"
5079,5/3/2020,France,,,,France,AFP,"Marines of French aircraft carrier Charles de Gaulle, contamined by COVID-19, were treated with hydroxychloroquine and azythromycin, and were cured at 99%.",social media,https://perma.cc/K7RV-CHZ2?type=image,https://factuel.afp.com/les-marins-du-charles-de-gaulle-contamines-par-le-covid-19-traites-la-chloroquine-larmee-dement,French,false,"According to French Navy, marines weren't cured with those treatments, but 98% of them are indeed cured after being infected with COVID-19.",cures,['France'],perma.cc,https://twitter.com/Franckigevaro/status/1257214300822929409,twitter.com,2020-05-03,"['marines', 'french', 'aircraft', 'carrier', 'charles', 'gaulle', 'contamined', 'covid', 'treated', 'hydroxychloroquine', 'azythromycin', 'cured']"
