,date,country_1,country_2,country_3,country_4,countries,organization,claim,source,source_url,fact_check_url,fact_check_lang,final_rating,explanation,category,countries_list,source_domain,resolved_url,resolved_domain,datetime,claim_p
45,1/26/20,Belgium,,,,Belgium,Factcheck.Vlaanderen,The roll-out of 5G is causing coronavirus or coronavirus-like symptoms.,Facebook,https://www.facebook.com/groups/5gplein/permalink/910160042752989/,https://factcheck.vlaanderen/factcheck/5g-heeft-niks-te-maken-met-covid19,Dutch,FALSE,"The effect of 5G on the public's health is a long-standing cause of concern, also in the Dutch language area on local Facebook groups such as 5G-plein. At the end of January, coronavirus has started to be mentioned in these groups as a by-product of the roll-out of 5G (cf. Thomas Cowan's youtube video). There is no proof for this.",conspiracy theory,['Belgium'],facebook.com,https://www.facebook.com/groups/5gplein/permalink/910160042752989/,facebook.com,1/26/20,"['roll', 'causing', 'coronavirus', 'coronavirus', 'like', 'symptoms']"
180,1/30/20,Germany,,,,Germany,Correctiv,It's not a virus but 5G that is causing disease and deaths,Website,https://connectiv.events/wuhan-erste-provinz-mit-vollstaendiger-5g-abdeckung-jetzt-das-zentrum-des-toedlichen-virus/,https://correctiv.org/faktencheck/medizin-und-gesundheit/2020/01/30/falsche-spekulationen-5g-ist-nicht-schuld-an-todesfaellen-durch-das-coronavirus,German,FALSE,The deaths from COVID-19 have nothing to do with 5G.,conspiracy theory,['Germany'],connectiv.events,https://connectiv.events/wuhan-erste-provinz-mit-vollstaendiger-5g-abdeckung-jetzt-das-zentrum-des-toedlichen-virus/,connectiv.events,1/30/20,"['virus', 'causing', 'disease', 'deaths']"
231,1/31/20,Croatia,,,,Croatia,Faktograf,The coronavirus is enabled by 5G technology.,Facebook,https://www.facebook.com/Svjesnost/posts/3693138000703834,https://faktograf.hr/2020/01/31/nema-nikakvih-dokaza-da-je-koronavirus-povezan-s-5g-tehnologijom/,Croatian,FALSE,There is no scientific proof that the coronavirus is linked to 5G technology.,conspiracy theory,['Croatia'],facebook.com,https://www.facebook.com/Svjesnost/posts/3693138000703834,facebook.com,1/31/20,"['coronavirus', 'enabled', 'technology']"
438,2/6/20,Portugal,,,,Portugal,Observador,Several posts say that coronavirus deaths are linked to 5G technology.,website,https://odiariodeumet.wordpress.com/2020/01/28/wuhan-e-a-primeira-provincia-chinesa-com-cobertura-completa-da-rede-5g-que-esta-a-causar-as-mortes-que-as-autoridades-de-saude-e-governamentais-estao-a-encobrir-com-a-mentira-do-coronavirus/?fbclid=IwAR0an1S44kQkGDXeLd_d-jewfLiIPQIutarQEsYF-FDY4YSO-QN-LFBWCVA,https://observador.pt/factchecks/fact-check-e-a-cobertura-5g-que-esta-a-provocar-as-mortes-associadas-ao-coronavirus/,Portuguese,FALSE,There’s no scientific evidence to support this theory. People die because they were infected with the virus SARS-CoV-2.,conspiracy theory,['Portugal'],wordpress.com,https://odiariodeumet.wordpress.com/2020/01/28/wuhan-e-a-primeira-provincia-chinesa-com-cobertura-completa-da-rede-5g-que-esta-a-causar-as-mortes-que-as-autoridades-de-saude-e-governamentais-estao-a-encobrir-com-a-mentira-do-coronavirus/?fbclid=IwAR0an1S44kQkGDXeLd_d-jewfLiIPQIutarQEsYF-FDY4YSO-QN-LFBWCVA,wordpress.com,2/6/20,"['posts', 'coronavirus', 'deaths', 'linked', 'technology']"
562,2/13/20,Lithuania,,,,Lithuania,15min.lt,COVID-19 was caused by 5G antennas.,,Unavaliable,https://www.15min.lt/naujiena/aktualu/lietuva/ka-bendro-turi-5g-rysys-ir-covid-19-virusas-56-1276056,Lithuanian,FALSE,There is no proof the 5G network is related to the outbreak of novel coronavirus.,conspiracy theory,['Lithuania'],N/A,Unavaliable,N/A,2/13/20,"['covid', 'caused', 'antennas']"
699,2/24/20,Croatia,,,,Croatia,Faktograf,The link between COVID-19 and 5G is being hidden.,Facebook,https://archive.li/nTi8U,https://faktograf.hr/2020/03/16/korona-virus-5g-ivijesti/,Croatian,FALSE,The link does not exist.,conspiracy theory,['Croatia'],archive.li,https://www.zagreb.info/aktualno/hrvatska/predsjednik-milanovic-savjetuje-gradane-pozeljno-je-opskrbiti-se-hranom-za-naredna-dva-tjedna/255571/?fbclid=IwAR3M9uC7YWuT5Wem_kR2VZE3peCHIVBj2Er08c91I06dsarM-BnWTiby42g,zagreb.info,2/24/20,"['link', 'covid', 'hidden']"
915,3/2/20,United States,,,,United States,PolitiFact,“Coronavirus hoax: Fake virus pandemic fabricated to cover-up global outbreak of 5G Syndrome.”,Facebook,https://web.archive.org/save/http://themillenniumreport.com/2020/03/coronavirus-hoax-fake-virus-pandemic-fabricated-to-cover-up-global-outbreak-of-5g-syndrome/?fbclid=IwAR2v4URoJSUXaUB2L0Gdc8umMi65PxE_N9X6QeSOE0qLCnrSocrh3SXHd8w,https://www.politifact.com/factchecks/2020/mar/09/facebook-posts/no-evidence-coronavirus-was-faked-cover-5g-syndrom/,English,FALSE,No credible evidence shows the current coronavirus spreading around the world was fabricated.,conspiracy theory,['United States'],archive.org,http://themillenniumreport.com/2020/03/coronavirus-hoax-fake-virus-pandemic-fabricated-to-cover-up-global-outbreak-of-5g-syndrome/?fbclid=IwAR2v4URoJSUXaUB2L0Gdc8umMi65PxE_N9X6QeSOE0qLCnrSocrh3SXHd8w,themillenniumreport.com,3/2/20,"['coronavirus', 'hoax', 'fake', 'virus', 'pandemic', 'fabricated', 'cover', 'global', 'outbreak', 'syndrome']"
7154,3/5/20,Germany,,,,Germany,Correctiv,There is a connection between 5G and Covid-19.,Blog,Unavaliable,https://correctiv.org/faktencheck/2020/06/17/5g-und-coronavirus-es-gibt-keine-belege-fuer-einen-zusammenhang,German,no evidence,There is no proof that there is any connection between 5G and COVID-19 or that 5G can be harmful for people.,conspiracy theory,['Germany'],N/A,Unavaliable,N/A,3/5/20,"['connection', 'covid']"
1011,3/5/20,United States,,,,United States,Science Feedback,The coronavirus outbreak is caused by 5G technology.,"Dana Ashlie, YouTube",http://archive.md/5Sfpt,https://healthfeedback.org/claimreview/viral-claim-falsely-asserts-that-covid-19-is-due-to-5g-technology-rollout-not-a-virus/,English,FALSE,"There is no link between COVID-19 and 5G technology. The cause of the disease is proven to be a novel coronavirus. 5G technology uses low-energy radio waves, which do not damage DNA or cells unlike ionizing radiation",conspiracy theory,['United States'],archive.md,https://www.youtube.com/watch?v=CtfqUtW_8AA,youtube.com,3/5/20,"['coronavirus', 'outbreak', 'caused', 'technology']"
1078,3/7/20,Canada,,,,Canada,Décrypteurs - Radio-Canada,A video says COVID-19 is caused by 5G.,YouTube,https://youtu.be/8vAeD5ctq7g,https://ici.radio-canada.ca/nouvelle/1671055/5g-coronavirus-wuhan-inovio-vaccin,French,FALSE,The link between 5G and COVID-19 is not explained in the video and it does not hold any scientific value.,conspiracy theory,['Canada'],youtu.be,https://youtu.be/8vAeD5ctq7g,youtu.be,3/7/20,"['video', 'says', 'covid', 'caused']"
1098,3/8/20,Georgia,,,,Georgia,FactCheck Georgia,5G is accelerating the spread of the new coronavirus.,Facebook/media,https://itv.ge/?m=7&CID=64500,https://factcheck.ge/ka/story/38423--%E1%83%93%E1%83%94%E1%83%96%E1%83%98%E1%83%9C%E1%83%A4%E1%83%9D%E1%83%A0%E1%83%9B%E1%83%90%E1%83%AA%E1%83%98%E1%83%90-5g-%E1%83%98%E1%83%A1-%E1%83%99%E1%83%9D%E1%83%A0%E1%83%9D%E1%83%9C%E1%83%90%E1%83%95%E1%83%98%E1%83%A0%E1%83%A3%E1%83%A1%E1%83%97%E1%83%90%E1%83%9C-%E1%83%99%E1%83%90%E1%83%95%E1%83%A8%E1%83%98%E1%83%A0%E1%83%98%E1%83%A1-%E1%83%A8%E1%83%94%E1%83%A1%E1%83%90%E1%83%AE%E1%83%94%E1%83%91,Georgian,FALSE,There is no evidence that 5G Wifi networks are linked to the new coronavirus.,spread,['Georgia'],itv.ge,https://itv.ge/?m=7&CID=64500,itv.ge,3/8/20,"['accelerating', 'spread', 'new', 'coronavirus']"
1112,3/9/20,Spain,,,,Spain,Maldita.es,Coronavirus was caused by a mysterious vaccine activation distributed in China by chemtrails and activated by 5G.,Facebook,Unavaliable,https://maldita.es/malditaciencia/2020/03/09/post-facebook-coronavirus-vacunas-chemtrails-5g/,Spanish,FALSE,It is a combination of old conspiracy theories.,conspiracy theory,['Spain'],N/A,Unavaliable,N/A,3/9/20,"['coronavirus', 'caused', 'mysterious', 'vaccine', 'activation', 'distributed', 'china', 'chemtrails', 'activated']"
1156,3/10/20,Poland,,,,Poland,Demagog,"Fake coronavirus pandemic is a cover-up for the ""5G disease.""",Website,https://www.odkrywamyzakryte.com/falszywa-pandemia-koronawirusa-a-5g/,https://demagog.org.pl/analizy_i_raporty/nie-epidemia-koronawirusa-nie-jest-falszywa-i-nie-ma-zwiazku-z-5g/,Polish,FALSE,There is no link between 5G technology and the spread of the coronavirus.,conspiracy theory,['Poland'],odkrywamyzakryte.com,https://www.odkrywamyzakryte.com/falszywa-pandemia-koronawirusa-a-5g/,odkrywamyzakryte.com,3/10/20,"['fake', 'coronavirus', 'pandemic', 'cover', 'disease']"
1447,3/14/20,Mexico,,,,Mexico,Animal Político,COVID-19 is a vaccine that is 'activated' and spreads with the 5G.,Facebook,https://www.facebook.com/jerusalencapitaldeisrael/photos/a.603782743697418/751849258890765/?type=3&theater,https://www.animalpolitico.com/elsabueso/covid-19-vacuna-controlada-por-red-5g/,Spanish,FALSE,The cause of COVID-19 is the SARS-CoV-2 coronavirus. There is no scientific evidence that 5G causes harm to health,causes,['Mexico'],facebook.com,https://www.facebook.com/jerusalencapitaldeisrael/photos/a.603782743697418/751849258890765/?type=3&theater,facebook.com,3/14/20,"['covid', 'vaccine', 'activated', 'spreads']"
