,date,country_1,country_2,country_3,country_4,countries,organization,claim,source,source_url,fact_check_url,fact_check_lang,final_rating,explanation,category,countries_list,source_domain,resolved_url,resolved_domain,datetime,claim_p
2640,3/26/2020,Turkey,,,,Turkey,Teyit,Dr. Li Wenliang recommends tea for treatment. Doctors in Wuhan cure COVID-19 with tea.,WhatsApp,Unavaliable,https://teyit.org/cayin-covid-19-hastaligini-iyilestirdigi-iddiasi/,Turkish,false,The doctor in question was an optometrist who did not recommend a remedy for COVID-19. No scientific evidence shows tea can cure COVID-19.,cures,['Turkey'],N/A,Unavaliable,N/A,2020-03-26,"['wenliang', 'recommends', 'tea', 'treatment', 'doctors', 'wuhan', 'cure', 'covid', 'tea']"
2696,3/27/2020,Nigeria,,,,Nigeria,AfricaCheck,"Drinking a mix of baking soda and lemon as a hot tea cures COVID-19. Claims this ""cure"" has meant that there have been cases of COVID-19 in Israel, where the drink is popular. ","Facebook, WhatsApp",https://www.facebook.com/photo.php?fbid=2530080187308693&set=a.1397497183900338&type=3&theater,https://africacheck.org/fbcheck/no-lemon-and-baking-soda-mix-doesnt-cure-covid-19/,English,false,"No scientific evidence for the claim, confirmed by WHO and experts. Israel had nearly 5,000 cases of COVID-19 at the time of publication. ",cures,['Nigeria'],facebook.com,https://www.facebook.com/photo.php?fbid=2530080187308693&set=a.1397497183900338&type=3&theater,facebook.com,2020-03-27,"['drinking', 'mix', 'baking', 'soda', 'lemon', 'hot', 'tea', 'cures', 'covid', 'claims', 'cure', 'meant', 'cases', 'covid', 'israel', 'drink', 'popular']"
2833,3/28/2020,India,,,,India,FactCrescendo,The viral text message claims that the chemical substances (methylxanthines) required to cure COVID-19 can be found in tea. Dr. Li Wenliang had found this cure while researching about coronavirus before his death.,Facebook,https://www.facebook.com/pravin.halve.35?__tn__=%2CdC-R-R&eid=ARAZhU1fYvEJ89ng9_vODsbzWzwuG08WH7RwY_VMn4C4suX_N71gIly3wVyPnSroDPGG6T0JIIiBwtI9&hc_ref=ARQiEy03fyN5G3vDl_Q0MP3uAqBKTLogabMPS-ABHOHKbnqNtS99-jRi_tsA8zi6xCs&fref=nf,https://marathi.factcrescendo.com/no-tea-cannot-control-or-cure-coronavirus/,Marathi,false,"A veteran microbiologist in India, Dr. Sharad Kale, dismissed such reports saying, though methylxanthines are found in tea, there is no scientific evidence it cures coronavirus. He called it a hoax. The WHO also states there is no evidence that current medicine can prevent or cure the disease.",cures,['India'],facebook.com,https://www.facebook.com/pravin.halve.35?__tn__=%2CdC-R-R&eid=ARAZhU1fYvEJ89ng9_vODsbzWzwuG08WH7RwY_VMn4C4suX_N71gIly3wVyPnSroDPGG6T0JIIiBwtI9&hc_ref=ARQiEy03fyN5G3vDl_Q0MP3uAqBKTLogabMPS-ABHOHKbnqNtS99-jRi_tsA8zi6xCs&fref=nf,facebook.com,2020-03-28,"['viral', 'text', 'message', 'claims', 'chemical', 'substances', 'methylxanthines', 'required', 'cure', 'covid', 'tea', 'wenliang', 'cure', 'researching', 'coronavirus', 'death']"
2875,3/29/2020,Sri Lanka,,,,Sri Lanka,AFP,"A post shared repeatedly on WhatsApp and Facebook claims a Chinese doctor has discovered that drinking tea is effective in curing and relieving symptoms of the novel coronavirus, COVID-19.",Facebook,https://perma.cc/VRM4-9PCE,https://factcheck.afp.com/no-evidence-drinking-tea-can-cure-or-relieve-symptoms-covid-19-doctors-say,English,false,"The claim is false. Health experts say there is insufficient scientific evidence to show that drinking tea is effective in preventing or curing COVID-19 infections. As of March 2020, the WHO has said there is no cure for COVID-19.",cures,['Sri Lanka'],perma.cc,https://www.facebook.com/photo.php?fbid=1172573419740977&set=a.304564889875172&type=3&theater,facebook.com,2020-03-29,"['post', 'shared', 'repeatedly', 'whatsapp', 'facebook', 'claims', 'chinese', 'doctor', 'discovered', 'drinking', 'tea', 'effective', 'curing', 'relieving', 'symptoms', 'novel', 'coronavirus', 'covid']"
3031,3/30/2020,Kenya,,,,Kenya,AfricaCheck,"Drinking unsweetened black tea before the sun rises cures coronavirus. This was prophetised by a newborn baby, who died shortly after uttering the cure. ",WhatsApp/Facebook,https://web.facebook.com/groups/groupkenya/?post_id=3727538974007637,https://africacheck.org/fbcheck/no-drinking-black-tea-at-dawn-wont-cure-coronavirus/,English,false,"There is no evidence that any kind of tea cures coronavirus. A virologist from the University of Nairobi confirmed that ""tea cannot protect one from infection with COVID-19"". ",cures,['Kenya'],facebook.com,https://web.facebook.com/groups/groupkenya/?post_id=3727538974007637,facebook.com,2020-03-30,"['drinking', 'unsweetened', 'black', 'tea', 'sun', 'rises', 'cures', 'coronavirus', 'prophetised', 'newborn', 'baby', 'died', 'shortly', 'uttering', 'cure']"
3035,3/31/2020,India,,,,India,India Today,A video of a Doctor of Mumbai's Kasturba hospital suggesting tea and hot water to cure COVID-19.,Facebook,http://archive.today/tT2KP,https://aajtak.intoday.in/story/fact-check-coronavirus-mumbai-kasturba-hospital-social-media-viral-post-covid-19-precaution-1-1176466.html,Hindi,mostly false,The video is not of a doctor from the Kasturba hospital and there is no evidence that tea and hot water can cure COVID-19.,other,['India'],archive.today,https://www.facebook.com/watch/?v=2717660265017921,facebook.com,2020-03-31,"['video', 'doctor', 'mumbai', 'kasturba', 'hospital', 'suggesting', 'tea', 'hot', 'water', 'cure', 'covid']"
3051,3/31/2020,Nigeria,,,,Nigeria,AFP,"Facebook posts shared thousands of times recommend various practices to prevent COVID-19, including gargling salt water, drinking tea and avoiding ice cream.",Facebook,https://perma.cc/ED66-V8Z9,https://factcheck.afp.com/health-authorities-warn-false-covid-19-prevention-tips-online,English,false,Health experts told AFP there is no evidence to support these claims and say washing your hands regularly is the best way to stay healthy.,authorities,['Nigeria'],perma.cc,https://www.facebook.com/buchi.godwin.39/posts/2327475824022831,facebook.com,2020-03-31,"['facebook', 'posts', 'shared', 'thousands', 'times', 'recommend', 'practices', 'prevent', 'covid', 'including', 'gargling', 'salt', 'water', 'drinking', 'tea', 'avoiding', 'ice', 'cream']"
3118,3/31/2020,Taiwan,,,,Taiwan,Taiwan FactCheck Center,"Israel has zero death toll during the COVID-19 pandemic because every Israeli drink hot lemon green tea, which can kill coronavirus.","Line, Facebook",https://www.facebook.com/photo.php?fbid=3111131225606517&set=a.421376144582052&type=3&theater,https://tfc-taiwan.org.tw/articles/3639,Chinese (traditional),false,"As to April 13, 103 people died of COVID-19 in Israel. Expert says there is no scientific proof that the remedy of hot lemon green tea can kill coronavirus.",cures,['Taiwan'],facebook.com,https://www.facebook.com/photo.php?fbid=3111131225606517&set=a.421376144582052&type=3&theater,facebook.com,2020-03-31,"['israel', 'zero', 'death', 'toll', 'covid', 'pandemic', 'israeli', 'drink', 'hot', 'lemon', 'green', 'tea', 'kill', 'coronavirus']"
3345,4/2/2020,Lithuania,,,,Lithuania ,Delfi Melo Detektorius (Lie Detector),Claim that says the only effective cure for novel coronavirus is simple herbal tea.,Facebook post,Unavaliable,https://www.delfi.lt/mokslas/mokslas/it-pasele-dalijasi-zinute-mano-kad-efektyviausia-vaista-nuo-covid-19-visi-turime-savo-namuose.d?id=83944937,Lithuanian,false,There are no evidence that would prove this claim. WHO does not name herbal tea as possible treatment,cures,['Lithuania'],N/A,Unavaliable,N/A,2020-04-02,"['claim', 'says', 'effective', 'cure', 'novel', 'coronavirus', 'simple', 'herbal', 'tea']"
3410,4/3/2020,Costa Rica,,,,Costa Rica,La Nación,Drinking three cups of tea or coffee a day does cures COVID-19.,"Facebook, WhatsApp",Unavaliable,https://www.nacion.com/no-coma-cuento/nocomacuento-tomar-tres-tazas-de-te-o-cafe-al/JZ5HEXCAX5GUVAYICJWG2OE2VY/story/,Spanish,false,"According to pediatric infectologist and former Health Minister María Luisa Ávila, none of the chemicals that make up coffee or tea have been used to treat the new coronavirus.",cures,['Costa Rica'],N/A,Unavaliable,N/A,2020-04-03,"['drinking', 'cups', 'tea', 'coffee', 'day', 'cures', 'covid']"
