,date,country_1,country_2,country_3,country_4,countries,organization,claim,source,source_url,fact_check_url,fact_check_lang,final_rating,explanation,category,countries_list,source_domain,resolved_url,resolved_domain,datetime,claim_p
1637,3/17/2020,United States,,,,United States,AFP,U.S. President Donald Trump or presidential candidate Joe Biden referred to the novel coronavirus pandemic as a time when “people are dying that have never died before.”,Facebook,https://perma.cc/5W53-DYVE,https://factcheck.afp.com/hemingway-phrase-misrepresented-trump-and-biden-statement-covid-19-death-toll,English,false,"This claim is false. There is no record of either man saying this, and letters from Ernest Hemingway show the phrase can be traced to the famed U.S. author.",authorities,['United States'],perma.cc,https://www.facebook.com/184630688597858/posts/1022152034845715,facebook.com,2020-03-17,"['president', 'donald', 'trump', 'presidential', 'candidate', 'joe', 'biden', 'referred', 'novel', 'coronavirus', 'pandemic', 'time', 'people', 'dying', 'died']"
1822,3/18/2020,United States,,,,United States,PolitiFact,"President Donald Trump said, “People are dying who have never died before.”",Facebook,https://web.archive.org/save/https://www.facebook.com/permalink.php?story_fbid=3522189717810000&id=100000570194060,https://www.politifact.com/factchecks/2020/mar/19/facebook-posts/no-trump-didnt-say-people-are-dying-who-have-never/,English,false,"We searched a number of databases and found no evidence that Trump, on March 18, said, “People are dying who have never died before.”",authorities,['United States'],archive.org,https://www.facebook.com/permalink.php?story_fbid=3522189717810000&id=100000570194060,facebook.com,2020-03-18,"['president', 'donald', 'trump', 'said', 'people', 'dying', 'died']"
1884,3/19/2020,United States,,,,United States,LeadStories,"Trump said ""people are dying who have never died before"".",Many social media platforms,Unavaliable,https://hoax-alert.leadstories.com/3472012-fact-check-trump-did-not-say-people-are-dyng-who-have-never-died-before.html,English,false,Searches in databases of the phrase never show up. Other fact checks confirm fabrication.,authorities,['United States'],N/A,Unavaliable,N/A,2020-03-19,"['trump', 'said', 'people', 'dying', 'died']"
1934,3/19/2020,United States,,,,United States,FactCheck.org,"Donald Trump said about coronavirus, “People are dying who have never died before.”",Facebook,https://www.facebook.com/photo.php?fbid=2768738103179739&set=a.119036348149941&type=3,https://www.factcheck.org/2020/03/death-quote-wrongly-attributed-to-trump/,English,false,Ernest Hemingway said it.,authorities,['United States'],facebook.com,https://www.facebook.com/photo.php?fbid=2768738103179739&set=a.119036348149941&type=3,facebook.com,2020-03-19,"['donald', 'trump', 'said', 'coronavirus', 'people', 'dying', 'died']"
2041,3/20/2020,India,,,,India,India Today,"Donald Trump said, “People are dying who have never died before”",Facebook,https://www.facebook.com/leslie.chism/posts/10158847116419522,https://www.indiatoday.in/fact-check/story/false-coronavirus-quote-attributed-us-president-donald-trump-1657927-2020-03-20,English,false,The quote has been on the internet for over a decade attributing it to different people at different times.,authorities,['India'],facebook.com,https://www.facebook.com/leslie.chism/posts/10158847116419522,facebook.com,2020-03-20,"['donald', 'trump', 'said', 'people', 'dying', 'died']"
2125,3/21/2020,United States,,,,United States,PolitiFact,Quotes Joe Biden as saying “people who have never died before are now dying from coronavirus.”,Facebook,https://www.facebook.com/photo.php?fbid=2690744507647052&set=a.395037310551128&type=3&theater,https://www.politifact.com/factchecks/2020/mar/24/facebook-posts/first-trump-now-biden-neither-said-people-who-have/,English,false,The quote was first misattributed to President Donald Trump. Joe Biden didn't say it either.,spread,['United States'],facebook.com,https://www.facebook.com/photo.php?fbid=2690744507647052&set=a.395037310551128&type=3&theater,facebook.com,2020-03-21,"['quotes', 'joe', 'biden', 'saying', 'people', 'died', 'dying', 'coronavirus']"
4211,4/14/2020,Portugal,,,,Portugal,Observador,"A post says that Donald Trump has said, on March 17th, that people who never died before are dying now.",Facebook user,https://www.facebook.com/photo.php?fbid=3365716446776043&set=a.193009734046746&type=3,https://observador.pt/factchecks/fact-check-trump-disse-que-as-pessoas-que-nunca-morreram-antes-estao-a-morrer-agora/,Portuguese,false,"After analysing his speech on March 17th, we were not able to find this sentence anywhere. There’s no prove that Donald Trump has said that in that day.",authorities,['Portugal'],facebook.com,https://www.facebook.com/photo.php?fbid=3365716446776043&set=a.193009734046746&type=3,facebook.com,2020-04-14,"['post', 'says', 'donald', 'trump', 'said', 'march', '17th', 'people', 'died', 'dying']"
