,date,country_1,country_2,country_3,country_4,countries,organization,claim,source,source_url,fact_check_url,fact_check_lang,final_rating,explanation,category,countries_list,source_domain,resolved_url,resolved_domain,datetime,claim_p
6703,2/7/2020,Egypt,Jordan,,,"Egypt, Jordan",Fatabyyano,20 million Chinese people convert to Islam after learning that COVID-19 doesn't affect muslims.,facebook post,https://www.facebook.com/24NEWZ/videos/520981911945869/?v=520981911945869,https://fatabyyano.net/%d8%a5%d8%b3%d9%84%d8%a7%d9%85-20-%d9%85%d9%84%d9%8a%d9%88%d9%86-%d9%85%d9%88%d8%a7%d8%b7%d9%86%d9%8d-%d8%b5%d9%8a%d9%86%d9%8a-%d9%81%d9%8a%d8%b1%d9%88%d8%b3-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7/,Arabic,false,COVID-19 affect muslims and doesn't discriminate by religion. There is no evidence of the conversion of 20 million Chinese people to islam.,other,"['Egypt', 'Jordan']",facebook.com,https://www.facebook.com/24NEWZ/videos/520981911945869/?v=520981911945869,facebook.com,2020-02-07,"['million', 'chinese', 'people', 'convert', 'islam', 'learning', 'covid', 'affect', 'muslims']"
508,2/11/2020,Middle East,North Africa,,,"Middle East, North Africa",Misbar,20 million Chinese convert to Islam after coronavirus.,"Facebook, Twitter",Unavaliable,https://misbar.com/factcheck/5e42b720d4a22979b05a10a3,Arabic,false,No Chinese website published this news. The image circulated is the memorial service for the President of the Islamic Association of Shanghai Province in 2018 upon his death. No official party has announced that a large number of Chinese have embraced Islam after the spread of COVID-19.,other,"['Middle East', 'North Africa']",N/A,Unavaliable,N/A,2020-02-11,"['million', 'chinese', 'convert', 'islam', 'coronavirus']"
660,2/20/2020,United States,,,,United States,LeadStories,"20 million Chinese convert to Islam, and coronavirus does not affect Muslims.",YouTube,https://www.youtube.com/watch?v=onpFKpLkB9w&fbclid=IwAR22ku3Aifnn2_Hvu52018YRdmu62byNDD7K41Yq71p8VfGaWVGhfyeZiyg,https://hoax-alert.leadstories.com/3471717-fake-news-twenty-million-chinese-did-not-covert-to-islam-after-it-was-proven-that-coronavirus-epidemic-did-not-afflict-muslims.html,English,false,"The video doesn't feature Chinese people, but rather Filipino men. Video footage predates major coronavirus reports.",other,['United States'],youtube.com,https://www.youtube.com/watch?v=onpFKpLkB9w&fbclid=IwAR22ku3Aifnn2_Hvu52018YRdmu62byNDD7K41Yq71p8VfGaWVGhfyeZiyg,youtube.com,2020-02-20,"['million', 'chinese', 'convert', 'islam', 'coronavirus', 'affect', 'muslims']"
698,2/24/2020,Indonesia,,,,Indonesia,AFP,Chinese people convert to Islam because of COVID-19.,Facebook,https://perma.cc/S84W-P47R,https://factcheck.afp.com/video-shows-islamic-conversion-saudi-arabia-may-2019-months-novel-coronavirus-outbreak,English,false,The video is from May 2019.,other,['Indonesia'],perma.cc,https://www.facebook.com/102346488013715/videos/217446069430920/?v=217446069430920,facebook.com,2020-02-24,"['chinese', 'people', 'convert', 'islam', 'covid']"
740,2/26/2020,Indonesia,,,,Indonesia,AFP,Chinese people convert to Islam because of COVID-19.,Keur Mame Lamp Fall,https://www.facebook.com/426224170592/videos/897134307372373/,http://factuel.afp.com/non-cette-video-ne-montre-pas-des-chinois-se-convertissant-lislam-pendant-lepidemie-du-nouveau,French,false,"The video is old, and not related to COVID-19.",other,['Indonesia'],facebook.com,https://www.facebook.com/426224170592/videos/897134307372373/,facebook.com,2020-02-26,"['chinese', 'people', 'convert', 'islam', 'covid']"
